Reference area;Source type;Time;Value
Andorra;Official estimate;2015;317
Argentina;Other administrative records and related sources;2010;123940
Argentina;Other administrative records and related sources;2011;118128
Argentina;Other administrative records and related sources;2012;119126
Argentina;Other administrative records and related sources;2013;136178
Argentina;Other administrative records and related sources;2014;175684
Argentina;Other administrative records and related sources;2015;133623
Argentina;Other administrative records and related sources;2017;193470
Armenia;Labour inspectorate records;2010;640
Austria;Labour inspectorate records;2010;60235
Austria;Labour inspectorate records;2011;57699
Austria;Labour inspectorate records;2012;60268
Austria;Labour inspectorate records;2013;63201
Austria;Labour inspectorate records;2014;66927
Austria;Labour inspectorate records;2015;69401
Austria;Labour inspectorate records;2016;68162
Austria;Labour inspectorate records;2017;63649
Austria;Labour inspectorate records;2018;62405
Austria;Labour inspectorate records;2019;63084
Azerbaijan;Labour inspectorate records;2010;3202
Azerbaijan;Labour inspectorate records;2011;10330
Azerbaijan;Labour inspectorate records;2012;11864
Azerbaijan;Labour inspectorate records;2013;8546
Azerbaijan;Labour inspectorate records;2014;11527
Azerbaijan;Labour inspectorate records;2015;11338
Bahrain;Labour inspectorate records;2010;39874
Bahrain;Labour inspectorate records;2015;12378
Barbados;Labour inspectorate records;2010;197
Barbados;Labour inspectorate records;2013;1061
Barbados;Labour inspectorate records;2014;1581
Barbados;Labour inspectorate records;2015;1263
Belgium;Other official source;2017;62487
Belgium;Other official source;2018;53719
Belgium;Other official source;2019;48825
Belize;Other administrative records and related sources;2010;797
Belize;Other administrative records and related sources;2011;898
Belize;Other administrative records and related sources;2012;1021
Botswana;Labour inspectorate records;2010;4704
Botswana;Labour inspectorate records;2011;8125
Brazil;Other administrative records and related sources;2011;407396
Brazil;Other administrative records and related sources;2012;423386
Brazil;Other administrative records and related sources;2013;275139
Bulgaria;Labour inspectorate records;2011;53195
Bulgaria;Labour inspectorate records;2012;56431
Canada;Other official source;2015;1414
Canada;Other official source;2016;1645
Canada;Other official source;2017;1769
Canada;Other official source;2018;1844
Canada;Other official source;2019;2025
Chile;Labour inspectorate records;2010;116793
Chile;Labour inspectorate records;2011;113659
Chile;Labour inspectorate records;2012;115727
Chile;Labour inspectorate records;2013;108789
Chile;Labour inspectorate records;2017;109335
Chile;Labour inspectorate records;2018;99938
Chile;Labour inspectorate records;2019;86322
Colombia;Other administrative records and related sources;2011;10253
Colombia;Other administrative records and related sources;2012;12359
Colombia;Other administrative records and related sources;2013;10438
Colombia;Other administrative records and related sources;2014;10400
Colombia;Other administrative records and related sources;2015;10458
Colombia;Other administrative records and related sources;2016;9320
Colombia;Other administrative records and related sources;2017;8494
Costa Rica;Labour inspectorate records;2010;14
Costa Rica;Labour inspectorate records;2011;16
Costa Rica;Labour inspectorate records;2012;19
Costa Rica;Labour inspectorate records;2013;13
Costa Rica;Labour inspectorate records;2014;22
Costa Rica;Labour inspectorate records;2015;22
Croatia;Labour inspectorate records;2011;27456
Croatia;Labour inspectorate records;2012;25091
Croatia;Labour inspectorate records;2014;15570
Croatia;Labour inspectorate records;2015;16443
Croatia;Labour inspectorate records;2016;17161
Croatia;Labour inspectorate records;2017;20091
Croatia;Labour inspectorate records;2018;17231
Croatia;Labour inspectorate records;2019;17734
Cuba;Other administrative records and related sources;2010;5069
Cyprus;Labour inspectorate records;2010;6030
Cyprus;Labour inspectorate records;2015;4191
Cyprus;Labour inspectorate records;2017;3623
Cyprus;Labour inspectorate records;2018;3228
Cyprus;Labour inspectorate records;2019;3696
Czechia;Labour inspectorate records;2010;22394
Czechia;Labour inspectorate records;2011;22519
Czechia;Labour inspectorate records;2012;42180
Czechia;Labour inspectorate records;2013;61850
Czechia;Labour inspectorate records;2014;36348
