Reference area;Source type;Time;Value
Andorra;Official estimate;2015;8
Argentina;Other administrative records and related sources;2011;839062
Argentina;Other administrative records and related sources;2012;849994
Argentina;Other administrative records and related sources;2013;903707
Argentina;Other administrative records and related sources;2014;847648
Argentina;Other administrative records and related sources;2015;757023
Austria;Labour inspectorate records;2010;246109
Austria;Labour inspectorate records;2011;240950
Austria;Labour inspectorate records;2012;243197
Austria;Labour inspectorate records;2013;244424
Austria;Labour inspectorate records;2014;252379
Austria;Labour inspectorate records;2015;247484
Austria;Labour inspectorate records;2016;249347
Austria;Labour inspectorate records;2017;251045
Austria;Labour inspectorate records;2018;251562
Austria;Labour inspectorate records;2019;252181
Azerbaijan;Labour inspectorate records;2013;41924
Azerbaijan;Labour inspectorate records;2014;13731
Azerbaijan;Labour inspectorate records;2015;71188
Bahrain;Labour inspectorate records;2010;4434
Bahrain;Labour inspectorate records;2015;70263
Barbados;Labour inspectorate records;2015;2029
Belize;Other administrative records and related sources;2010;10792
Belize;Other administrative records and related sources;2011;10555
Belize;Other administrative records and related sources;2012;10556
Brazil;Other administrative records and related sources;2013;3837000
Bulgaria;Labour inspectorate records;2011;208206
Bulgaria;Labour inspectorate records;2012;204818
Canada;Other administrative records and related sources;2014;44758
Canada;Other administrative records and related sources;2015;44865
Canada;Other administrative records and related sources;2017;43642
Canada;Other administrative records and related sources;2018;43794
Canada;Other administrative records and related sources;2019;44044
Colombia;Other administrative records and related sources;2011;10253
Colombia;Other administrative records and related sources;2012;12359
Costa Rica;Labour inspectorate records;2010;9512
Costa Rica;Labour inspectorate records;2011;10521
Costa Rica;Labour inspectorate records;2012;11075
Costa Rica;Labour inspectorate records;2013;65987
Costa Rica;Labour inspectorate records;2014;80691
Costa Rica;Labour inspectorate records;2015;82061
Croatia;Labour inspectorate records;2015;221463
Croatia;Labour inspectorate records;2016;227772
Croatia;Labour inspectorate records;2017;263957
Croatia;Labour inspectorate records;2018;229049
Croatia;Labour inspectorate records;2019;244441
Cuba;Other administrative records and related sources;2010;11857
Cyprus;Labour inspectorate records;2010;27276
Cyprus;Labour inspectorate records;2015;31529
Cyprus;Labour inspectorate records;2017;34637
Cyprus;Labour inspectorate records;2018;35893
Cyprus;Labour inspectorate records;2019;36609
Czechia;Labour inspectorate records;2017;2848672
Czechia;Labour inspectorate records;2018;1502560
Dominican Republic;Labour inspectorate records;2010;29083
Dominican Republic;Labour inspectorate records;2011;72783
Dominican Republic;Labour inspectorate records;2012;68250
Dominican Republic;Labour inspectorate records;2013;69949
Dominican Republic;Labour inspectorate records;2014;76852
El Salvador;Economic or establishment census;2010;32539
El Salvador;Economic or establishment census;2011;30880
El Salvador;Economic or establishment census;2012;31382
El Salvador;Economic or establishment census;2014;33165
El Salvador;Economic or establishment census;2015;30795
El Salvador;Economic or establishment census;2016;32786
El Salvador;Economic or establishment census;2017;32822
El Salvador;Economic or establishment census;2018;33332
Estonia;Labour inspectorate records;2010;41709
Estonia;Labour inspectorate records;2011;42869
Estonia;Labour inspectorate records;2012;48007
Estonia;Labour inspectorate records;2013;49690
Estonia;Labour inspectorate records;2014;51503
Estonia;Labour inspectorate records;2015;53422
Estonia;Labour inspectorate records;2017;54652
Estonia;Labour inspectorate records;2018;56683
Estonia;Labour inspectorate records;2019;59803
Finland;Labour inspectorate records;2011;213769
Finland;Labour inspectorate records;2012;226491
Finland;Other administrative records and related sources;2013;235131
