Reference area;Source type;Sex;Time;Total;Migrants;Non migrants;EU Migrants;Migrants excluding EU;Unknown
Andorra;Official estimate;Total;2015;681;;;;;
Andorra;Official estimate;Male;2015;369;;;;;
Andorra;Official estimate;Female;2015;312;;;;;
Argentina;Other administrative records and related sources;Total;2010;17581681;;;;;
Argentina;Other administrative records and related sources;Total;2011;14336880;;;;;
Argentina;Other administrative records and related sources;Male;2011;11371311;;;;;
Argentina;Other administrative records and related sources;Female;2011;2965569;;;;;
Argentina;Other administrative records and related sources;Total;2012;14415443;;;;;
Argentina;Other administrative records and related sources;Male;2012;11474594;;;;;
Argentina;Other administrative records and related sources;Female;2012;2940849;;;;;
Argentina;Other administrative records and related sources;Total;2014;14813916;;;;;
Argentina;Other administrative records and related sources;Male;2014;11568367;;;;;
Argentina;Other administrative records and related sources;Female;2014;3245548;;;;;
Argentina;Other administrative records and related sources;Total;2015;14958871;;;;;
Argentina;Other administrative records and related sources;Male;2015;11244202;;;;;
Argentina;Other administrative records and related sources;Female;2015;3023893;;;;;
Argentina;Other administrative records and related sources;Total;2016;1826442;286753;1539689;;;
Argentina;Other administrative records and related sources;Male;2016;1338361;224929;1113432;;;
Argentina;Other administrative records and related sources;Female;2016;488081;61824;426257;;;
Argentina;Other administrative records and related sources;Total;2017;12682409;516253;11592794;;;
Argentina;Other administrative records and related sources;Male;2017;9570532;427371;9143073;;;
Argentina;Other administrative records and related sources;Female;2017;2538602;88881;2449721;;;
Argentina;Other administrative records and related sources;Total;2018;12236858;517069;11198492;;;
Argentina;Other administrative records and related sources;Male;2018;9332608;429354;8903134;;;
Argentina;Other administrative records and related sources;Female;2018;2383073;87715;2295358;;;
Armenia;Other official source;Total;2013;1600;;;;;
Armenia;Other official source;Total;2018;1547;;;;;
Armenia;Other official source;Total;2019;1851;;;;;
Austria;Insurance records;Total;2010;1465560;;1234103;74922;156535;
Austria;Insurance records;Male;2010;1187679;;1000900;60419;126360;
Austria;Insurance records;Female;2010;277881;;233203;14503;30175;
Austria;Insurance records;Total;2011;1279945;;1051948;80172;147825;
Austria;Insurance records;Male;2011;1043917;;855900;67298;120719;
Austria;Insurance records;Female;2011;236028;;196048;12874;27106;
Austria;Insurance records;Total;2012;1253644;;1006772;116959;129913;
Austria;Insurance records;Male;2012;1020161;;814715;98377;107069;
Austria;Insurance records;Female;2012;233483;;192057;18582;22844;
Austria;Insurance records;Total;2013;1226172;;941845;135436;148891;
Austria;Insurance records;Male;2013;995610;;761832;111085;122693;
Austria;Insurance records;Female;2013;230562;;180013;24351;26198;
Austria;Insurance records;Total;2014;1285443;;986210;151731;147502;
Austria;Insurance records;Male;2014;1031318;;788773;122710;119835;
Austria;Insurance records;Female;2014;254125;;197437;29021;27667;
Austria;Insurance records;Total;2015;1195979;;903457;155148;137374;
Austria;Insurance records;Male;2015;959811;;719192;126629;113990;
Austria;Insurance records;Female;2015;236168;;184265;28519;23384;
Austria;Insurance records;Total;2016;1258580;;;;;
Austria;Insurance records;Male;2016;1017914;;;;;
Austria;Insurance records;Female;2016;240666;;;;;
Belarus;Establishment survey;Total;2010;100761;;;;;
Belarus;Establishment survey;Male;2010;77713;;;;;
Belarus;Establishment survey;Female;2010;23048;;;;;
Belarus;Establishment survey;Total;2011;94628;;;;;
Belarus;Establishment survey;Male;2011;72909;;;;;
Belarus;Establishment survey;Female;2011;21719;;;;;
Belarus;Establishment survey;Total;2012;81862;;;;;
Belarus;Establishment survey;Male;2012;63244;;;;;
Belarus;Establishment survey;Female;2012;18618;;;;;
Belarus;Establishment survey;Total;2013;86230;;;;;
Belarus;Establishment survey;Male;2013;67060;;;;;
Belarus;Establishment survey;Female;2013;19170;;;;;
Belarus;Establishment survey;Total;2014;79467;;;;;
Belarus;Establishment survey;Male;2014;59030;;;;;
Belarus;Establishment survey;Female;2014;20437;;;;;
Belarus;Establishment survey;Total;2015;69931;;;;;
Belarus;Establishment survey;Male;2015;54157;;;;;
Belarus;Establishment survey;Female;2015;15774;;;;;
Belarus;Establishment survey;Total;2016;67606;;;;;
Belarus;Establishment survey;Male;2016;52418;;;;;
Belarus;Establishment survey;Female;2016;15188;;;;;
Belarus;Establishment survey;Total;2017;64300;;;;;
Belarus;Establishment survey;Total;2018;73204;;;;;
Belarus;Establishment survey;Male;2018;57670;;;;;
Belarus;Establishment survey;Female;2018;15534;;;;;
Belarus;Establishment survey;Total;2019;79421;;;;;
Belarus;Establishment survey;Male;2019;60936;;;;;
Belarus;Establishment survey;Female;2019;18485;;;;;
Belgium;Insurance records;Total;2010;1063240;;939197;80928;40044;3071
Belgium;Insurance records;Male;2010;783707;;684260;63987;32790;2670
Belgium;Insurance records;Female;2010;279533;;254937;16941;7254;401
Belgium;Insurance records;Total;2011;1045976;;916942;80360;45312;3362
Belgium;Insurance records;Male;2011;784491;;681203;63223;37118;2947
Belgium;Insurance records;Female;2011;261485;;235739;17137;8194;415
Belgium;Insurance records;Total;2012;924339;;808077;72496;41009;2757
Belgium;Insurance records;Male;2012;688721;;597483;56747;32184;2307
Belgium;Insurance records;Female;2012;235618;;210594;15749;8825;450
Belgium;Insurance records;Total;2013;901272;;787708;71192;39458;2914
Belgium;Insurance records;Male;2013;655613;;567393;54723;31021;2476
Belgium;Insurance records;Female;2013;245659;;220315;16469;8437;438
Belgium;Insurance records;Total;2014;1024496;;901514;73287;46361;3334
Belgium;Insurance records;Male;2014;732248;;636558;56520;36553;2617
Belgium;Insurance records;Female;2014;292248;;264956;16767;9808;717
Belgium;Insurance records;Total;2015;990278;;872301;68413;46593;2971
Belgium;Insurance records;Male;2015;704004;;612543;51247;37589;2625
Belgium;Insurance records;Female;2015;286274;;259758;17166;9004;346
Belgium;Insurance records;Total;2016;1826;287;1540;;;
Belgium;Insurance records;Male;2016;1338;225;1113;;;
Belgium;Insurance records;Female;2016;488;62;426;;;
Belize;Establishment or business register;Total;2011;27640;;;;;
Belize;Establishment or business register;Male;2011;25382;;;;;
Belize;Establishment or business register;Female;2011;2258;;;;;
Belize;Establishment or business register;Total;2012;31977;;;;;
Belize;Establishment or business register;Male;2012;28247;;;;;
Belize;Establishment or business register;Female;2012;3730;;;;;
Belize;Establishment or business register;Total;2015;47711;10726;36985;;;
Belize;Establishment or business register;Male;2015;42159;9603;32556;;;
Belize;Establishment or business register;Female;2015;5552;1123;4429;;;
Belize;Establishment or business register;Total;2016;49036;11156;37880;;;
Belize;Establishment or business register;Male;2016;44052;10129;33923;;;
Belize;Establishment or business register;Female;2016;4984;1027;3957;;;
Belize;Establishment or business register;Total;2017;44402;9045;35357;;;
Belize;Establishment or business register;Male;2017;39647;8215;31432;;;
Belize;Establishment or business register;Female;2017;4755;830;3925;;;
Bulgaria;Insurance records;Total;2010;123859;;123840;0;19;
Bulgaria;Insurance records;Male;2010;86366;;86347;0;19;
Bulgaria;Insurance records;Female;2010;37493;;37493;0;0;
Bulgaria;Insurance records;Total;2011;109343;;109162;37;144;
Bulgaria;Insurance records;Male;2011;78409;;78228;37;144;
Bulgaria;Insurance records;Female;2011;30934;;30934;0;0;
Bulgaria;Insurance records;Total;2012;110792;;110713;56;23;
Bulgaria;Insurance records;Male;2012;79309;;79286;0;23;
Bulgaria;Insurance records;Female;2012;31483;;31427;56;0;
Bulgaria;Insurance records;Total;2013;117991;;117625;97;269;
Bulgaria;Insurance records;Male;2013;82856;;82490;97;269;
Bulgaria;Insurance records;Female;2013;35135;;35135;0;0;
Bulgaria;Insurance records;Total;2014;127204;;126904;79;221;
Bulgaria;Insurance records;Male;2014;89752;;89554;44;154;
Bulgaria;Insurance records;Female;2014;37452;;37350;35;67;
Bulgaria;Insurance records;Total;2015;128648;;128498;150;0;
Bulgaria;Insurance records;Male;2015;92061;;91941;120;0;
Bulgaria;Insurance records;Female;2015;36587;;36557;30;0;
Chile;Other administrative records and related sources;Total;2011;3248574;;;;;
Chile;Other administrative records and related sources;Male;2011;2521636;;;;;
Chile;Other administrative records and related sources;Female;2011;724098;;;;;
Chile;Other administrative records and related sources;Total;2012;3361726;;;;;
Chile;Other administrative records and related sources;Male;2012;2604649;;;;;
Chile;Other administrative records and related sources;Female;2012;756743;;;;;
Chile;Other administrative records and related sources;Total;2013;3432162;;;;;
Chile;Other administrative records and related sources;Male;2013;2623633;;;;;
Chile;Other administrative records and related sources;Female;2013;808529;;;;;
Chile;Other administrative records and related sources;Total;2017;3403332;;;;;
Chile;Other administrative records and related sources;Male;2017;2569210;;;;;
Chile;Other administrative records and related sources;Female;2017;834122;;;;;
Chile;Other administrative records and related sources;Total;2018;3339948;;;;;
Chile;Other administrative records and related sources;Male;2018;2518736;;;;;
Chile;Other administrative records and related sources;Female;2018;821212;;;;;
Costa Rica;Insurance records;Total;2010;1744669;;;;;
