Reference area;Source type;Sex;Time;Total;Migrants;Non migrants;EU Migrants;Migrants excluding EU;Unknown
Argentina;Other administrative records and related sources;Total;2010;7131,5;;;;;
Argentina;Other administrative records and related sources;Total;2011;5608,0;;;;;
Argentina;Other administrative records and related sources;Male;2011;7295,0;;;;;
Argentina;Other administrative records and related sources;Female;2011;2610,0;;;;;
Argentina;Other administrative records and related sources;Total;2012;5094,0;;;;;
Argentina;Other administrative records and related sources;Male;2012;6614,0;;;;;
Argentina;Other administrative records and related sources;Female;2012;2466,0;;;;;
Argentina;Other administrative records and related sources;Total;2014;4676,6;;;;;
Argentina;Other administrative records and related sources;Male;2014;6255,7;;;;;
Argentina;Other administrative records and related sources;Female;2014;2321,4;;;;;
Argentina;Other administrative records and related sources;Total;2015;4544,1;;;;;
Argentina;Other administrative records and related sources;Male;2015;5780,0;;;;;
Argentina;Other administrative records and related sources;Female;2015;2319,7;;;;;
Argentina;Other administrative records and related sources;Total;2016;4193,1;;;;;
Argentina;Other administrative records and related sources;Male;2016;5282,7;;;;;
Argentina;Other administrative records and related sources;Female;2016;2232,8;;;;;
Argentina;Other administrative records and related sources;Total;2017;3918,5;5145,9;3871,8;;;
Argentina;Other administrative records and related sources;Male;2017;5043,6;6051,9;4999,9;;;
Argentina;Other administrative records and related sources;Female;2017;2110,3;3053,1;2082,3;;;
Argentina;Other administrative records and related sources;Total;2018;3771,2;4799,7;3668,9;;;
Argentina;Other administrative records and related sources;Male;2018;4796,7;5697,3;4755,0;;;
Argentina;Other administrative records and related sources;Female;2018;1990,0;2783,7;1964,3;;;
Armenia;Other official source;Total;2013;45,8;;;;;
Armenia;Other official source;Male;2013;72,1;;;;;
Armenia;Other official source;Female;2013;7,0;;;;;
Armenia;Other official source;Total;2018;50,0;;;;;
Armenia;Other official source;Male;2018;69,8;;;;;
Armenia;Other official source;Female;2018;13,1;;;;;
Armenia;Other official source;Total;2019;35,1;;;;;
Armenia;Other official source;Male;2019;53,3;;;;;
Australia;Insurance records;Total;2010;912,5;;;;;
Australia;Insurance records;Male;2010;1166,5;;;;;
Australia;Insurance records;Female;2010;634,8;;;;;
Australia;Insurance records;Total;2011;907,5;;;;;
Australia;Insurance records;Male;2011;1148,9;;;;;
Australia;Insurance records;Female;2011;641,6;;;;;
Australia;Insurance records;Total;2012;1016,4;;;;;
Australia;Insurance records;Male;2012;1252,2;;;;;
Australia;Insurance records;Female;2012;757,4;;;;;
Australia;Insurance records;Total;2013;1011,5;;;;;
Australia;Insurance records;Male;2013;1243,2;;;;;
Australia;Insurance records;Female;2013;756,4;;;;;
Australia;Insurance records;Total;2014;912,8;;;;;
Australia;Insurance records;Male;2014;1121,5;;;;;
Australia;Insurance records;Female;2014;682,3;;;;;
Australia;Insurance records;Total;2015;1054,5;;;;;
Australia;Insurance records;Male;2015;1328,8;;;;;
Australia;Insurance records;Female;2015;768,7;;;;;
Australia;Insurance records;Total;2016;933,1;;;;;
Australia;Insurance records;Male;2016;1152,5;;;;;
Australia;Insurance records;Female;2016;694,7;;;;;
Australia;Insurance records;Total;2017;898,7;;;;;
Australia;Insurance records;Male;2017;1068,4;;;;;
Australia;Insurance records;Female;2017;708,1;;;;;
Austria;Insurance records;Total;2010;1914,2;;1861,6;1429,4;3334,8;
Austria;Insurance records;Male;2010;2777,3;;2708,5;2138,6;4469,8;
Austria;Insurance records;Female;2010;915,5;;886,2;688,8;1755,7;
Austria;Insurance records;Total;2011;1810,1;;1721,1;1618,5;3517,1;
Austria;Insurance records;Male;2011;2570,3;;2448,3;2480,4;4530,0;
Austria;Insurance records;Female;2011;856,3;;815,7;659,2;1884,0;
Austria;Insurance records;Total;2012;1602,1;;1502,8;2003,6;2794,8;
Austria;Insurance records;Male;2012;2367,0;;2224,3;3167,2;3733,6;
Austria;Insurance records;Female;2012;720,2;;675,8;825,5;1417,0;
Austria;Insurance records;Total;2013;1548,4;;1398,1;2145,4;3331,9;
Austria;Insurance records;Male;2013;2305,7;;2075,5;3491,3;4559,8;
Austria;Insurance records;Female;2013;685,3;;628,7;835,2;1542,8;
Austria;Insurance records;Total;2014;1590,6;;1441,8;2140,3;3292,7;
Austria;Insurance records;Male;2014;2360,8;;2129,5;3409,8;4668,5;
Austria;Insurance records;Female;2014;726,0;;668,8;887,5;1494,3;
Austria;Insurance records;Total;2015;1476,0;;1330,5;2011,9;3016,3;
Austria;Insurance records;Male;2015;2182,0;;1963,6;3065,1;4238,4;
Austria;Insurance records;Female;2015;683,3;;625,2;873,0;1391,8;
Austria;Insurance records;Total;2016;1952,0;;;;;
Austria;Insurance records;Male;2016;2796,0;;;;;
Austria;Insurance records;Female;2016;918,0;;;;;
Azerbaijan;Labour inspectorate records;Total;2016;12,0;;;;;
Azerbaijan;Labour inspectorate records;Male;2016;19,0;;;;;
Azerbaijan;Labour inspectorate records;Female;2016;2,0;;;;;
Azerbaijan;Labour inspectorate records;Total;2017;8,0;;;;;
Azerbaijan;Labour inspectorate records;Male;2017;11,0;;;;;
Azerbaijan;Labour inspectorate records;Female;2017;3,0;;;;;
Azerbaijan;Labour inspectorate records;Total;2018;9,0;;;;;
Azerbaijan;Labour inspectorate records;Male;2018;15,0;;;;;
Azerbaijan;Labour inspectorate records;Female;2018;1,0;;;;;
Azerbaijan;Labour inspectorate records;Total;2019;15,0;;;;;
Azerbaijan;Labour inspectorate records;Male;2019;21,0;;;;;
Azerbaijan;Labour inspectorate records;Female;2019;5,0;;;;;
Belarus;Establishment survey;Total;2010;60,0;;;;;
Belarus;Establishment survey;Male;2010;90,0;;;;;
Belarus;Establishment survey;Female;2010;30,0;;;;;
Belarus;Establishment survey;Total;2011;56,6;;;;;
Belarus;Establishment survey;Male;2011;88,6;;;;;
Belarus;Establishment survey;Female;2011;26,8;;;;;
Belarus;Establishment survey;Total;2012;51,6;;;;;
Belarus;Establishment survey;Male;2012;79,7;;;;;
Belarus;Establishment survey;Female;2012;26,3;;;;;
Belarus;Establishment survey;Total;2013;50,5;;;;;
Belarus;Establishment survey;Male;2013;79,6;;;;;
Belarus;Establishment survey;Female;2013;24,4;;;;;
Belarus;Establishment survey;Total;2014;47,7;;;;;
Belarus;Establishment survey;Male;2014;72,6;;;;;
Belarus;Establishment survey;Female;2014;25,3;;;;;
Belarus;Establishment survey;Total;2015;40,9;;;;;
Belarus;Establishment survey;Male;2015;62,3;;;;;
Belarus;Establishment survey;Female;2015;21,8;;;;;
Belarus;Establishment survey;Total;2016;40,6;;;;;
Belarus;Establishment survey;Male;2016;62,2;;;;;
Belarus;Establishment survey;Female;2016;21,4;;;;;
Belarus;Establishment survey;Total;2017;38,8;;;;;
Belarus;Establishment survey;Male;2017;61,1;;;;;
Belarus;Establishment survey;Female;2017;19,1;;;;;
Belarus;Establishment survey;Total;2018;46,7;;;;;
Belarus;Establishment survey;Male;2018;74,1;;;;;
Belarus;Establishment survey;Female;2018;22,1;;;;;
Belarus;Establishment survey;Total;2019;51,3;;;;;
Belarus;Establishment survey;Male;2019;78,7;;;;;
Belarus;Establishment survey;Female;2019;26,6;;;;;
Belgium;Insurance records;Total;2010;2048,9;;1971,3;2381,0;4456,3;
Belgium;Insurance records;Male;2010;2623,7;;2513,2;3140,6;5410,7;
Belgium;Insurance records;Female;2010;1263,9;;1243,0;1241,1;2509,7;
