ref_area,indicator,source,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_TOTAL,2015,681,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_A,2015,71,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_B,2015,0,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_C,2015,37,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_D,2015,12,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_F,2015,50,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_G,2015,43,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_H,2015,24,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_I,2015,40,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_K,2015,30,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_L,2015,40,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_N,2015,36,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_P,2015,19,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_Q,2015,37,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_R,2015,25,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_T,2015,128,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_U,2015,0,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_ISIC4_X,2015,89,,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_ECO_NB,EA:98,ECO_AGGREGATE_TOTAL,2015,681,,,T13:150_T14:153_I2:469,
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_TOTAL,1997,4092711,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_1,1997,324640,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_2,1997,34601,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_3,1997,1493309,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_4,1997,48112,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_5,1997,525927,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_6,1997,472524,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_7,1997,345136,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_8,1997,209420,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_9,1997,626792,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_0,1997,12250,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_AGGREGATE_TOTAL,1997,4092711,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_TOTAL,1998,5511303,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_1,1998,481956,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_2,1998,32297,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_3,1998,1761111,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_4,1998,60432,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_5,1998,662244,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_6,1998,781889,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_7,1998,454458,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_8,1998,295526,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_9,1998,962302,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_0,1998,19088,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_AGGREGATE_TOTAL,1998,5511303,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_TOTAL,1999,7426709,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_1,1999,695110,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_2,1999,40921,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_3,1999,2161329,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_4,1999,91138,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_5,1999,970498,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_6,1999,1020680,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_7,1999,614143,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_8,1999,403528,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_9,1999,1409682,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_0,1999,19680,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_AGGREGATE_TOTAL,1999,7426709,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_TOTAL,2000,7771910,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_1,2000,627279,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_2,2000,41724,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_3,2000,1883896,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_4,2000,86865,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_5,2000,775817,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_6,2000,1069238,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_7,2000,770044,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_8,2000,554630,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_9,2000,1948618,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_0,2000,13799,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_AGGREGATE_TOTAL,2000,7771910,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_TOTAL,2002,6381975,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_1,2002,574236,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_2,2002,32026,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_3,2002,1388588,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_4,2002,78742,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_5,2002,317413,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_6,2002,874089,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_7,2002,683815,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_8,2002,486141,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_9,2002,1939405,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_0,2002,7520,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_AGGREGATE_TOTAL,2002,6381975,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_TOTAL,2003,7748171,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_1,2003,727106,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_2,2003,41652,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_3,2003,1818168,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_4,2003,89058,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_5,2003,501250,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_6,2003,998620,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_7,2003,760721,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_8,2003,575671,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_9,2003,2219576,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_0,2003,8591,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_AGGREGATE_TOTAL,2003,7748171,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_TOTAL,2004,10245610,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_1,2004,938782,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_2,2004,61810,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_3,2004,2367651,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_4,2004,96149,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_5,2004,873567,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_6,2004,1327310,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_7,2004,892363,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_8,2004,761489,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_9,2004,2915440,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_0,2004,11049,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_AGGREGATE_TOTAL,2004,10245610,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_TOTAL,2005,12022892,,,T13:149,S3:26
ARG,INJ_DAYS_ECO_NB,FA:865,ECO_ISIC2_1,2005,982500,,,T13:149,S3:26
