ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_indicator,note_source
AND,INJ_DAYS_SEX_MIG_NB,EA:98,SEX_T,MIG_STATUS_TOTAL,2015,681,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_SEX_MIG_NB,EA:98,SEX_M,MIG_STATUS_TOTAL,2015,369,,T13:150_T14:153_I2:469,
AND,INJ_DAYS_SEX_MIG_NB,EA:98,SEX_F,MIG_STATUS_TOTAL,2015,312,,T13:150_T14:153_I2:469,
ARG,INJ_DAYS_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,1997,4092711,,T13:149,S3:26
ARG,INJ_DAYS_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,1998,5511303,,T13:149,S3:26
ARG,INJ_DAYS_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,1999,7426709,,T13:149,S3:26
ARG,INJ_DAYS_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,2000,7771910,,T13:149,S3:26
ARG,INJ_DAYS_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,2002,6381975,,T13:149,S3:26
ARG,INJ_DAYS_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,2003,7748171,,T13:149,S3:26
ARG,INJ_DAYS_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,2004,10245610,,T13:149,S3:26
ARG,INJ_DAYS_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,2005,12022892,,T13:149,S3:26
ARG,INJ_DAYS_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,2006,14765377,,T13:149,S3:26
ARG,INJ_DAYS_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,2007,17818104,,T13:149,S3:26
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2009,17366014.4,,T13:149_T14:154_I2:1681_I5:221,
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2010,17581681,,T13:149_T14:154_I2:1681_I5:221,
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2011,14336880,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_TOTAL,2011,11371311,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_TOTAL,2011,2965569,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2012,14415443,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_TOTAL,2012,11474594,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_TOTAL,2012,2940849,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2014,14813916,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_TOTAL,2014,11568367,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_TOTAL,2014,3245548,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2015,14958871,,T13:149_T14:154,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_TOTAL,2015,11244202,,T13:149_T14:154,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_TOTAL,2015,3023893,,T13:149_T14:154,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2016,1826442,,T13:149_T14:154,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_MIGRANT,2016,286753,,T13:149_T14:154,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_NONMIG,2016,1539689,,T13:149_T14:154,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_TOTAL,2016,1338361,,T13:149_T14:154,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_MIGRANT,2016,224929,,T13:149_T14:154,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_NONMIG,2016,1113432,,T13:149_T14:154,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_TOTAL,2016,488081,,T13:149_T14:154,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_MIGRANT,2016,61824,,T13:149_T14:154,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_NONMIG,2016,426257,,T13:149_T14:154,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2017,12682409,,T13:149_T14:154,S3:26_S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_MIGRANT,2017,516253,,T13:149_T14:154,S3:26_S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_NONMIG,2017,11592794,,T13:149_T14:154,S3:26_S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_TOTAL,2017,9570532,,T13:149_T14:154,S3:26_S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_MIGRANT,2017,427371,,T13:149_T14:154,S3:26_S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_NONMIG,2017,9143073,,T13:149_T14:154,S3:26_S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_TOTAL,2017,2538602,,T13:149_T14:154,S3:26_S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_MIGRANT,2017,88881,,T13:149_T14:154,S3:26_S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_NONMIG,2017,2449721,,T13:149_T14:154,S3:26_S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2018,12236857.97,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_MIGRANT,2018,517069.07,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_NONMIG,2018,11198491.93,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_TOTAL,2018,9332608.41,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_MIGRANT,2018,429354.3,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_NONMIG,2018,8903134.11,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_TOTAL,2018,2383072.59,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_MIGRANT,2018,87714.77,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_DAYS_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_NONMIG,2018,2295357.82,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,1990,60798,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,1992,25906,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,1993,16504,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,1994,9543,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,1995,6039,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,1996,4041,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,1997,3932,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,1998,6239,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,1999,5415,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,2000,3053,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,2001,5701,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,2002,3828,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,2003,4191,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,2004,3478,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,2005,2557,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,2006,3010,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,2007,4294,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,2008,3264,,T13:149,
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,2013,1600,,T13:149_T14:156_I2:1681_I5:222,S8:1619_S9:66
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,2018,1547,,T13:149_T14:156,S14:4077_S8:1619_S9:66_S10:73
ARM,INJ_DAYS_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,2019,1851,,T13:149_T14:156,S14:4077_S8:1619_S9:66_S10:73
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_T,MIG_STATUS_TOTAL,1992,1687085,,T13:150,S3:26_S4:32
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_T,MIG_STATUS_TOTAL,1993,1346998,,T13:150,S3:26_S4:32
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_T,MIG_STATUS_TOTAL,1994,1364670,,T13:150,S3:26_S4:34
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_T,MIG_STATUS_TOTAL,1995,1021234,,T13:150,S3:26_S4:34
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_T,MIG_STATUS_TOTAL,1996,1041892,,T13:150,S3:26_S4:34
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_T,MIG_STATUS_TOTAL,1997,4427995,,T13:150,S3:26_S4:34
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_M,MIG_STATUS_TOTAL,1997,2725965,,T13:150,S3:26_S4:34
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_F,MIG_STATUS_TOTAL,1997,1701405,,T13:150,S3:26_S4:34
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_T,MIG_STATUS_TOTAL,1998,4166760,,T13:150,S3:26_S4:34
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_M,MIG_STATUS_TOTAL,1998,2593170,,T13:150,S3:26_S4:34
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_F,MIG_STATUS_TOTAL,1998,1572980,,T13:150,S3:26_S4:34
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_T,MIG_STATUS_TOTAL,1999,4534685,,T13:150,S3:26_S4:34
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_M,MIG_STATUS_TOTAL,1999,2824880,,T13:150,S3:26_S4:34
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_F,MIG_STATUS_TOTAL,1999,1709805,,T13:150,S3:26_S4:34
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_T,MIG_STATUS_TOTAL,2000,4267635,,T13:150,S3:26_S4:34
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_M,MIG_STATUS_TOTAL,2000,2687950,,T13:150,S3:26_S4:34
AUS,INJ_DAYS_SEX_MIG_NB,FA:877,SEX_F,MIG_STATUS_TOTAL,2000,1579685,,T13:150,S3:26_S4:34
AUT,INJ_DAYS_SEX_MIG_NB,FA:257,SEX_T,MIG_STATUS_TOTAL,1975,4041107,,T13:149,
AUT,INJ_DAYS_SEX_MIG_NB,FA:257,SEX_T,MIG_STATUS_TOTAL,1976,4167414,,T13:149,
AUT,INJ_DAYS_SEX_MIG_NB,FA:257,SEX_T,MIG_STATUS_TOTAL,1977,4167721,,T13:149,
AUT,INJ_DAYS_SEX_MIG_NB,FA:257,SEX_T,MIG_STATUS_TOTAL,1978,4266109,,T13:149,
AUT,INJ_DAYS_SEX_MIG_NB,FA:257,SEX_T,MIG_STATUS_TOTAL,1979,4476520,,T13:149,
AUT,INJ_DAYS_SEX_MIG_NB,FA:257,SEX_T,MIG_STATUS_TOTAL,1980,4665632,,T13:149,
AUT,INJ_DAYS_SEX_MIG_NB,FA:257,SEX_T,MIG_STATUS_TOTAL,1981,4494242,,T13:149,
AUT,INJ_DAYS_SEX_MIG_NB,FA:257,SEX_T,MIG_STATUS_TOTAL,2004,1613998,,T13:149_T14:153_I2:1653,S3:24_S9:66
AUT,INJ_DAYS_SEX_MIG_NB,FA:257,SEX_M,MIG_STATUS_TOTAL,2004,1371856,,T13:149_T14:153_I2:1653,S3:24_S9:66
AUT,INJ_DAYS_SEX_MIG_NB,FA:257,SEX_F,MIG_STATUS_TOTAL,2004,242142,,T13:149_T14:153_I2:1653,S3:24_S9:66
