ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_indicator,note_source
AND,INJ_FATL_SEX_MIG_NB,EA:98,SEX_T,MIG_STATUS_TOTAL,2015,0,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_SEX_MIG_NB,EA:98,SEX_M,MIG_STATUS_TOTAL,2015,0,,T13:150_T14:153_I1:1154,
AND,INJ_FATL_SEX_MIG_NB,EA:98,SEX_F,MIG_STATUS_TOTAL,2015,0,,T13:150_T14:153_I1:1154,
ANT,INJ_FATL_SEX_MIG_NB,FA:854,SEX_T,MIG_STATUS_TOTAL,1994,3,,T13:149_I1:465,
ANT,INJ_FATL_SEX_MIG_NB,FA:854,SEX_M,MIG_STATUS_TOTAL,1994,3,,T13:149_I1:465,
ANT,INJ_FATL_SEX_MIG_NB,FA:854,SEX_F,MIG_STATUS_TOTAL,1994,0,,T13:149_I1:465,
ANT,INJ_FATL_SEX_MIG_NB,FA:854,SEX_T,MIG_STATUS_TOTAL,1995,0,,T13:149_I1:465,
ANT,INJ_FATL_SEX_MIG_NB,FA:854,SEX_M,MIG_STATUS_TOTAL,1995,0,,T13:149_I1:465,
ANT,INJ_FATL_SEX_MIG_NB,FA:854,SEX_F,MIG_STATUS_TOTAL,1995,0,,T13:149_I1:465,
ANT,INJ_FATL_SEX_MIG_NB,FA:854,SEX_T,MIG_STATUS_TOTAL,1996,0,,T13:149_I1:465,
ANT,INJ_FATL_SEX_MIG_NB,FA:854,SEX_M,MIG_STATUS_TOTAL,1996,0,,T13:149_I1:465,
ANT,INJ_FATL_SEX_MIG_NB,FA:854,SEX_F,MIG_STATUS_TOTAL,1996,0,,T13:149_I1:465,
ANT,INJ_FATL_SEX_MIG_NB,FA:854,SEX_T,MIG_STATUS_TOTAL,1997,0,,T13:149_I1:465,
ANT,INJ_FATL_SEX_MIG_NB,FA:854,SEX_M,MIG_STATUS_TOTAL,1997,0,,T13:149_I1:465,
ANT,INJ_FATL_SEX_MIG_NB,FA:854,SEX_F,MIG_STATUS_TOTAL,1997,0,,T13:149_I1:465,
