ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_indicator,note_source
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_T,MIG_STATUS_TOTAL,1994,5,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_M,MIG_STATUS_TOTAL,1994,8,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_F,MIG_STATUS_TOTAL,1994,0,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_T,MIG_STATUS_TOTAL,1995,0,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_M,MIG_STATUS_TOTAL,1995,0,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_F,MIG_STATUS_TOTAL,1995,0,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_T,MIG_STATUS_TOTAL,1996,0,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_M,MIG_STATUS_TOTAL,1996,0,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_F,MIG_STATUS_TOTAL,1996,0,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_T,MIG_STATUS_TOTAL,1997,0,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_M,MIG_STATUS_TOTAL,1997,0,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_F,MIG_STATUS_TOTAL,1997,0,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_T,MIG_STATUS_TOTAL,1998,1,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_M,MIG_STATUS_TOTAL,1998,3,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_F,MIG_STATUS_TOTAL,1998,0,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_T,MIG_STATUS_TOTAL,1999,0,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_M,MIG_STATUS_TOTAL,1999,0,,T13:149_I4:219,
ANT,INJ_FATL_SEX_MIG_RT,FA:854,SEX_F,MIG_STATUS_TOTAL,1999,0,,T13:149_I4:219,
ARG,INJ_FATL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,1997,14.92,,T13:149_I4:219,S3:26
ARG,INJ_FATL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,1998,23.7,,T13:149_I4:219,S3:26
ARG,INJ_FATL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,1999,21.58,,T13:149_I4:219,S3:26
ARG,INJ_FATL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,2000,18.59,,T13:149_I4:219,S3:26
ARG,INJ_FATL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,2002,15.21,,T13:149_I4:219,S3:26
ARG,INJ_FATL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,2003,15.22,,T13:149_I4:219,S3:26
ARG,INJ_FATL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,2004,15.01,,T13:149_I4:219,S3:26
ARG,INJ_FATL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,2005,14.28,,T13:149_I4:219,S3:26
ARG,INJ_FATL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,2006,14.91,,T13:149_I4:219,S3:26
ARG,INJ_FATL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,2007,14.07,,T13:149_I4:219,S3:26
ARG,INJ_FATL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_TOTAL,2009,10.58,,T13:149_T14:154_I1:468,
ARG,INJ_FATL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_TOTAL,2010,10.93,,T13:149_T14:154_I1:468,
ARG,INJ_FATL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_TOTAL,2011,7.67,,T13:149_T14:154_I4:219_I1:468,S9:259
ARG,INJ_FATL_SEX_MIG_RT,FX:154,SEX_M,MIG_STATUS_TOTAL,2011,11.43,,T13:149_T14:154_I4:219_I1:468,S9:259
ARG,INJ_FATL_SEX_MIG_RT,FX:154,SEX_F,MIG_STATUS_TOTAL,2011,0.56,,T13:149_T14:154_I4:219_I1:468,S9:259
ARG,INJ_FATL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_TOTAL,2012,6.78,,T13:149_T14:154_I4:217_I1:468,S9:259
ARG,INJ_FATL_SEX_MIG_RT,FX:154,SEX_M,MIG_STATUS_TOTAL,2012,10.58,,T13:149_T14:154_I4:217_I1:468,S9:259
ARG,INJ_FATL_SEX_MIG_RT,FX:154,SEX_F,MIG_STATUS_TOTAL,2012,0.45,,T13:149_T14:154_I4:217_I1:468,S9:259
ARG,INJ_FATL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_TOTAL,2014,4.74,,T13:149_T14:154_I4:219_I1:468,S9:259
ARG,INJ_FATL_SEX_MIG_RT,FX:154,SEX_M,MIG_STATUS_TOTAL,2014,7.68,,T13:149_T14:154_I4:219_I1:468,S9:259
