ref_area,indicator,source,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_TOTAL,1994,1725,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_B,1994,0,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_C,1994,16,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_D,1994,213,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_E,1994,240,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_F,1994,666,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_H,1994,403,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_J,1994,162,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_O,1994,25,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_X,1994,0,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_AGGREGATE_TOTAL,1994,1725,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_TOTAL,1995,2137,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_A,1995,66,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_B,1995,0,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_C,1995,35,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_D,1995,125,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_E,1995,136,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_F,1995,729,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_G,1995,258,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_H,1995,386,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_I,1995,102,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_J,1995,20,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_K,1995,54,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_N,1995,87,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_O,1995,128,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_X,1995,11,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_AGGREGATE_TOTAL,1995,2137,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_TOTAL,1996,1934,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_A,1996,15,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_B,1996,0,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_C,1996,13,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_D,1996,122,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_E,1996,121,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_F,1996,563,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_G,1996,295,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_H,1996,258,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_I,1996,213,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_J,1996,45,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_K,1996,65,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_N,1996,64,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_O,1996,106,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_X,1996,54,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_AGGREGATE_TOTAL,1996,1934,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_TOTAL,1997,1614,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_A,1997,21,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_B,1997,0,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_C,1997,13,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_D,1997,76,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_E,1997,147,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_F,1997,422,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_G,1997,271,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_H,1997,212,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_I,1997,143,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_J,1997,20,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_K,1997,52,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_N,1997,74,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_O,1997,112,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_X,1997,50,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_AGGREGATE_TOTAL,1997,1614,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_TOTAL,1998,1321,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_A,1998,9,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_B,1998,0,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_C,1998,74,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_D,1998,96,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_E,1998,46,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_F,1998,315,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_G,1998,178,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_H,1998,234,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_I,1998,91,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_J,1998,10,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_K,1998,206,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_N,1998,54,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_O,1998,8,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_X,1998,0,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_AGGREGATE_TOTAL,1998,1321,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_TOTAL,1999,1420,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_A,1999,7,,,T13:149,
