ref_area,indicator,source,sex,classif1,classif2,time,obs_value,obs_status,note_indicator,note_source
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1994,1725,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1994,1380,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1994,345,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1995,2137,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1995,1710,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1995,427,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1996,1934,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1996,1547,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1996,387,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1997,1614,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1997,1291,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1997,323,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1998,1321,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1998,1057,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1998,264,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1999,1420,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1999,1138,,T13:149,
ANT,INJ_NFTL_SEX_INJ_MIG_NB,FA:854,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,1999,282,,T13:149,
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2009,572031,,T13:149_T14:154_I2:1681_I3:1186,
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2009,51269,,T13:149_T14:154_I2:1681_I3:1186,
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2009,520762,,T13:149_T14:154_I2:1681_I3:1186,
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2010,568162,,T13:149_T14:154_I2:1681_I3:1186,
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2010,55710,,T13:149_T14:154_I2:1681_I3:1186,
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2010,512452,,T13:149_T14:154_I2:1681_I3:1186,
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2011,461084,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2011,38787,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2011,422297,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2011,375088,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2011,34262,,T13:149_T14:154_I2:1681_I3:1186,S9:259
