ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_indicator,note_source
AND,INJ_NFTL_SEX_MIG_NB,EA:98,SEX_T,MIG_STATUS_TOTAL,2015,3,,T13:150_T14:153_I2:1653,
AND,INJ_NFTL_SEX_MIG_NB,EA:98,SEX_M,MIG_STATUS_TOTAL,2015,2,,T13:150_T14:153_I2:1653,
AND,INJ_NFTL_SEX_MIG_NB,EA:98,SEX_F,MIG_STATUS_TOTAL,2015,1,,T13:150_T14:153_I2:1653,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_T,MIG_STATUS_TOTAL,1994,1725,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_M,MIG_STATUS_TOTAL,1994,1380,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_F,MIG_STATUS_TOTAL,1994,345,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_T,MIG_STATUS_TOTAL,1995,2137,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_M,MIG_STATUS_TOTAL,1995,1710,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_F,MIG_STATUS_TOTAL,1995,427,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_T,MIG_STATUS_TOTAL,1996,1934,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_M,MIG_STATUS_TOTAL,1996,1547,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_F,MIG_STATUS_TOTAL,1996,387,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_T,MIG_STATUS_TOTAL,1997,1614,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_M,MIG_STATUS_TOTAL,1997,1291,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_F,MIG_STATUS_TOTAL,1997,323,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_T,MIG_STATUS_TOTAL,1998,1321,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_M,MIG_STATUS_TOTAL,1998,1057,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_F,MIG_STATUS_TOTAL,1998,264,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_T,MIG_STATUS_TOTAL,1999,1420,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_M,MIG_STATUS_TOTAL,1999,1138,,T13:149,
ANT,INJ_NFTL_SEX_MIG_NB,FA:854,SEX_F,MIG_STATUS_TOTAL,1999,282,,T13:149,
ARG,INJ_NFTL_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,1997,309268,,T13:149,S3:26
ARG,INJ_NFTL_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,1998,325019,,T13:149,S3:26
ARG,INJ_NFTL_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,1999,399552,,T13:149,S3:26
ARG,INJ_NFTL_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,2000,381266,,T13:149,S3:26
ARG,INJ_NFTL_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,2002,278634,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,2003,342889,,T13:149,S3:26
ARG,INJ_NFTL_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,2004,429428,,T13:149,S3:26
ARG,INJ_NFTL_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,2005,488805,,T13:149,S3:26
ARG,INJ_NFTL_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,2006,538630,,T13:149,S3:26
ARG,INJ_NFTL_SEX_MIG_NB,FA:865,SEX_T,MIG_STATUS_TOTAL,2007,597682,,T13:149,S3:26
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2009,572031,,T13:149_T14:154_I2:1681,
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2010,568162,,T13:149_T14:154_I2:1681,
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2011,466086,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_TOTAL,2011,379562,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_TOTAL,2011,86523,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2012,441113,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_TOTAL,2012,358447,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_TOTAL,2012,82665,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2014,421080,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_TOTAL,2014,337186,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_TOTAL,2014,83894,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2015,417325,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_TOTAL,2015,320452,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_TOTAL,2015,79038,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2016,384139,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_TOTAL,2016,291945,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_TOTAL,2016,76238,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2017,354201,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_MIGRANT,2017,17089,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_NONMIG,2017,337109,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_TOTAL,2017,281034,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_MIGRANT,2017,14026,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_NONMIG,2017,267005,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_TOTAL,2017,73167,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_MIGRANT,2017,3063,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_NONMIG,2017,70104,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_TOTAL,2018,351557,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_MIGRANT,2018,17171,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_T,MIG_STATUS_NONMIG,2018,320823,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_TOTAL,2018,268319,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_MIGRANT,2018,14103,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_M,MIG_STATUS_NONMIG,2018,254213,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_TOTAL,2018,69678,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_MIGRANT,2018,3068,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_NB,FX:154,SEX_F,MIG_STATUS_NONMIG,2018,66610,,T13:149_T14:154,S9:259
ARM,INJ_NFTL_SEX_MIG_NB,EB:176,SEX_T,MIG_STATUS_TOTAL,1990,1320,,T13:149,
