ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_indicator,note_source
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_T,MIG_STATUS_TOTAL,1994,2595,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_M,MIG_STATUS_TOTAL,1994,3658,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_F,MIG_STATUS_TOTAL,1994,1200,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_T,MIG_STATUS_TOTAL,1995,2959,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_M,MIG_STATUS_TOTAL,1995,4172,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_F,MIG_STATUS_TOTAL,1995,1367,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_T,MIG_STATUS_TOTAL,1996,3150,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_M,MIG_STATUS_TOTAL,1996,4439,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_F,MIG_STATUS_TOTAL,1996,1458,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_T,MIG_STATUS_TOTAL,1997,2133,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_M,MIG_STATUS_TOTAL,1997,3006,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_F,MIG_STATUS_TOTAL,1997,987,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_T,MIG_STATUS_TOTAL,1998,2380,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_M,MIG_STATUS_TOTAL,1998,3356,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_F,MIG_STATUS_TOTAL,1998,1100,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_T,MIG_STATUS_TOTAL,1999,2569,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_M,MIG_STATUS_TOTAL,1999,3628,,T13:149_I4:219,
ANT,INJ_NFTL_SEX_MIG_RT,FA:854,SEX_F,MIG_STATUS_TOTAL,1999,1180,,T13:149_I4:219,
ARG,INJ_NFTL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,1997,7088,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,1998,7054,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,1999,8075,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,2000,7747,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,2002,6240,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,2003,7270,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,2004,8020,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,2005,8150,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,2006,8070,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_SEX_MIG_RT,FA:865,SEX_T,MIG_STATUS_TOTAL,2007,8250,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_TOTAL,2009,7288.23,,T13:149_T14:154_I2:1681,
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_TOTAL,2010,7131.51,,T13:149_T14:154_I2:1681,
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_TOTAL,2011,5608,,T13:149_T14:154_I4:216_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_M,MIG_STATUS_TOTAL,2011,7295,,T13:149_T14:154_I4:216_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_F,MIG_STATUS_TOTAL,2011,2610,,T13:149_T14:154_I4:216_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_TOTAL,2012,5094,,T13:149_T14:154_I4:216_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_M,MIG_STATUS_TOTAL,2012,6614,,T13:149_T14:154_I4:216_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_F,MIG_STATUS_TOTAL,2012,2466,,T13:149_T14:154_I4:216_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_TOTAL,2014,4676.6,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_M,MIG_STATUS_TOTAL,2014,6255.68,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_F,MIG_STATUS_TOTAL,2014,2321.43,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_TOTAL,2015,4544.08,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_M,MIG_STATUS_TOTAL,2015,5780.01,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_F,MIG_STATUS_TOTAL,2015,2319.66,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_TOTAL,2016,4193.11,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_M,MIG_STATUS_TOTAL,2016,5282.66,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_F,MIG_STATUS_TOTAL,2016,2232.8,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_TOTAL,2017,3918.53,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_MIGRANT,2017,5145.93,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_NONMIG,2017,3871.75,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_M,MIG_STATUS_TOTAL,2017,5043.64,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_M,MIG_STATUS_MIGRANT,2017,6051.88,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_M,MIG_STATUS_NONMIG,2017,4999.91,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_F,MIG_STATUS_TOTAL,2017,2110.33,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_F,MIG_STATUS_MIGRANT,2017,3053.06,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_F,MIG_STATUS_NONMIG,2017,2082.27,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_TOTAL,2018,3771.17,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_MIGRANT,2018,4799.67,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_T,MIG_STATUS_NONMIG,2018,3668.87,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_M,MIG_STATUS_TOTAL,2018,4796.7,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_M,MIG_STATUS_MIGRANT,2018,5697.29,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_M,MIG_STATUS_NONMIG,2018,4755.02,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_F,MIG_STATUS_TOTAL,2018,1990.04,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_MIG_RT,FX:154,SEX_F,MIG_STATUS_MIGRANT,2018,2783.72,,T13:149_T14:154_I2:1681_I5:221,S9:259
