ref_area,indicator,source,time,obs_value,note_indicator,note_source
ABW,LAI_INDE_NOC_RT,FX:830,2011,2.3,,
ARG,LAI_INDE_NOC_RT,FX:158,2009,0.39,,
ARG,LAI_INDE_NOC_RT,FX:158,2010,0.41,,
ARG,LAI_INDE_NOC_RT,FX:158,2011,0.34,,
ARG,LAI_INDE_NOC_RT,FX:158,2012,0.34,,
ARG,LAI_INDE_NOC_RT,FX:158,2013,0.37,,
ARG,LAI_INDE_NOC_RT,FX:158,2014,0.35,,
ARG,LAI_INDE_NOC_RT,FX:158,2017,0.31,,
ARM,LAI_INDE_NOC_RT,FF:172,2009,1.14,,
ARM,LAI_INDE_NOC_RT,FF:172,2010,1.06,,
AUT,LAI_INDE_NOC_RT,FF:256,2009,0.8,,S3:24
AUT,LAI_INDE_NOC_RT,FF:256,2010,0.77,,S3:24
AUT,LAI_INDE_NOC_RT,FF:256,2011,0.73,,S3:24
AUT,LAI_INDE_NOC_RT,FF:256,2012,0.76,,S3:24
AUT,LAI_INDE_NOC_RT,FF:256,2013,0.75,,S3:24
AUT,LAI_INDE_NOC_RT,FF:256,2014,0.8,,S3:24
AUT,LAI_INDE_NOC_RT,FF:256,2015,0.79,,S3:24
AUT,LAI_INDE_NOC_RT,FF:256,2016,0.76,,S3:24
AUT,LAI_INDE_NOC_RT,FF:256,2017,0.76,,S3:24
AUT,LAI_INDE_NOC_RT,FF:256,2018,0.75,,S3:24
AZE,LAI_INDE_NOC_RT,FF:130,2009,0.51,,S3:24_S5:38
AZE,LAI_INDE_NOC_RT,FF:130,2010,0.5,,S3:24_S5:38
AZE,LAI_INDE_NOC_RT,FF:130,2011,0.61,,S3:24
AZE,LAI_INDE_NOC_RT,FF:130,2012,0.61,,S3:24
AZE,LAI_INDE_NOC_RT,FF:130,2013,0.58,,S3:24
AZE,LAI_INDE_NOC_RT,FF:130,2014,0.57,,S3:24
AZE,LAI_INDE_NOC_RT,FF:130,2015,0.45,,S3:24
BEL,LAI_INDE_NOC_RT,EB:3463,2017,0.67,,S7:57
BEL,LAI_INDE_NOC_RT,EB:3463,2018,0.66,,S7:57
BEL,LAI_INDE_NOC_RT,EB:3463,2019,0.65,,S7:57
BGR,LAI_INDE_NOC_RT,FF:2603,2011,1.08,,S3:24
BGR,LAI_INDE_NOC_RT,FF:2603,2012,1.09,,S3:24
BHR,LAI_INDE_NOC_RT,FF:599,2011,0.41,,S3:23
BHR,LAI_INDE_NOC_RT,FF:599,2012,0.38,,S3:23
BHR,LAI_INDE_NOC_RT,FF:599,2015,0.26,,S3:23
BLZ,LAI_INDE_NOC_RT,FX:354,2012,1.83,,
BRA,LAI_INDE_NOC_RT,FX:952,2011,0.34,,S3:24_S5:40
BRA,LAI_INDE_NOC_RT,FX:952,2012,0.33,,S3:24_S5:40
BRA,LAI_INDE_NOC_RT,FX:952,2013,0.31,,
BRB,LAI_INDE_NOC_RT,FF:339,2009,1.25,,
BRB,LAI_INDE_NOC_RT,FF:339,2010,1.26,,
BRB,LAI_INDE_NOC_RT,FF:339,2013,1.98,,
BRB,LAI_INDE_NOC_RT,FF:339,2014,1.52,,
BRB,LAI_INDE_NOC_RT,FF:339,2015,1.4,,
CAN,LAI_INDE_NOC_RT,FX:3347,2015,0.09,,
CAN,LAI_INDE_NOC_RT,FX:3347,2016,0.09,,
CAN,LAI_INDE_NOC_RT,FX:3347,2017,0.1,,
CAN,LAI_INDE_NOC_RT,FX:3347,2018,0.1,,
CAN,LAI_INDE_NOC_RT,FX:3347,2019,0.09,,
CHE,LAI_INDE_NOC_RT,FF:3519,2011,1.32,,S3:24
CHE,LAI_INDE_NOC_RT,FF:3519,2012,1.34,,S3:24
CHE,LAI_INDE_NOC_RT,FF:3519,2013,1.34,,S3:24
CHE,LAI_INDE_NOC_RT,FF:3519,2014,1.34,,S3:24
CHE,LAI_INDE_NOC_RT,FF:3519,2015,1.31,,S3:24
CHE,LAI_INDE_NOC_RT,FF:3519,2016,1.23,,S3:24
CHE,LAI_INDE_NOC_RT,FF:3519,2017,1.2,,S3:24
CHE,LAI_INDE_NOC_RT,FF:3519,2018,1.18,,S3:24
CHE,LAI_INDE_NOC_RT,FF:3519,2019,1.16,,S3:24
