ref_area,indicator,source,sex,time,obs_value,note_indicator,note_source
ABW,LAI_INSP_SEX_NB,FX:830,SEX_T,2011,11,,
ABW,LAI_INSP_SEX_NB,FX:830,SEX_M,2011,8,,
ABW,LAI_INSP_SEX_NB,FX:830,SEX_F,2011,3,,
AND,LAI_INSP_SEX_NB,EA:98,SEX_T,2015,8,,
AND,LAI_INSP_SEX_NB,EA:98,SEX_M,2015,4,,
AND,LAI_INSP_SEX_NB,EA:98,SEX_F,2015,4,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_T,2009,410,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_T,2010,432,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_T,2011,369,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_M,2011,226,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_F,2011,143,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_T,2012,367,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_M,2012,225,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_F,2012,142,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_T,2013,402,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_M,2013,267,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_F,2013,135,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_T,2014,391,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_M,2014,246,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_F,2014,145,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_T,2015,355,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_M,2015,223,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_F,2015,132,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_T,2017,364,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_M,2017,227,,
ARG,LAI_INSP_SEX_NB,FX:158,SEX_F,2017,137,,
ARM,LAI_INSP_SEX_NB,FF:172,SEX_T,2009,131,,
ARM,LAI_INSP_SEX_NB,FF:172,SEX_T,2010,126,,
AUT,LAI_INSP_SEX_NB,FF:256,SEX_T,2009,318,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_T,2010,309,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_T,2011,297,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_M,2011,214,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_F,2011,83,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_T,2012,312,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_M,2012,229,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_F,2012,83,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_T,2013,309,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_M,2013,224,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_F,2013,85,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_T,2014,329,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_M,2014,239,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_F,2014,90,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_T,2015,328,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_M,2015,238,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_F,2015,90,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_T,2016,322,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_M,2016,230,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_F,2016,92,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_T,2017,322,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_M,2017,229,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_F,2017,93,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_T,2018,322,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_M,2018,230,,S3:24
AUT,LAI_INSP_SEX_NB,FF:256,SEX_F,2018,92,,S3:24
AZE,LAI_INSP_SEX_NB,FF:130,SEX_T,2009,218,,S3:24_S5:38
AZE,LAI_INSP_SEX_NB,FF:130,SEX_T,2010,218,,S3:24_S5:38
AZE,LAI_INSP_SEX_NB,FF:130,SEX_T,2011,269,,S3:24
AZE,LAI_INSP_SEX_NB,FF:130,SEX_M,2011,253,,S3:24
AZE,LAI_INSP_SEX_NB,FF:130,SEX_F,2011,16,,S3:24
AZE,LAI_INSP_SEX_NB,FF:130,SEX_T,2012,269,,S3:24
AZE,LAI_INSP_SEX_NB,FF:130,SEX_M,2012,253,,S3:24
AZE,LAI_INSP_SEX_NB,FF:130,SEX_F,2012,16,,S3:24
AZE,LAI_INSP_SEX_NB,FF:130,SEX_T,2013,260,,S3:24
AZE,LAI_INSP_SEX_NB,FF:130,SEX_M,2013,247,,S3:24
AZE,LAI_INSP_SEX_NB,FF:130,SEX_F,2013,13,,S3:24
AZE,LAI_INSP_SEX_NB,FF:130,SEX_T,2014,264,,S3:24
AZE,LAI_INSP_SEX_NB,FF:130,SEX_M,2014,254,,S3:24
AZE,LAI_INSP_SEX_NB,FF:130,SEX_F,2014,10,,S3:24
AZE,LAI_INSP_SEX_NB,FF:130,SEX_T,2015,212,,S3:24
AZE,LAI_INSP_SEX_NB,FF:130,SEX_M,2015,201,,S3:24
AZE,LAI_INSP_SEX_NB,FF:130,SEX_F,2015,11,,S3:24
BEL,LAI_INSP_SEX_NB,EB:3463,SEX_T,2017,313,,S7:57
BEL,LAI_INSP_SEX_NB,EB:3463,SEX_M,2017,159,,S7:57
BEL,LAI_INSP_SEX_NB,EB:3463,SEX_F,2017,154,,S7:57
BEL,LAI_INSP_SEX_NB,EB:3463,SEX_T,2018,313,,S7:57
BEL,LAI_INSP_SEX_NB,EB:3463,SEX_M,2018,153,,S7:57
BEL,LAI_INSP_SEX_NB,EB:3463,SEX_F,2018,160,,S7:57
BEL,LAI_INSP_SEX_NB,EB:3463,SEX_T,2019,312,,S7:57
BEL,LAI_INSP_SEX_NB,EB:3463,SEX_M,2019,149,,S7:57
BEL,LAI_INSP_SEX_NB,EB:3463,SEX_F,2019,163,,S7:57
BGR,LAI_INSP_SEX_NB,FF:2603,SEX_T,2011,319,,S3:24
BGR,LAI_INSP_SEX_NB,FF:2603,SEX_M,2011,137,,S3:24
BGR,LAI_INSP_SEX_NB,FF:2603,SEX_F,2011,182,,S3:24
BGR,LAI_INSP_SEX_NB,FF:2603,SEX_T,2012,320,,S3:24
BGR,LAI_INSP_SEX_NB,FF:2603,SEX_M,2012,140,,S3:24
BGR,LAI_INSP_SEX_NB,FF:2603,SEX_F,2012,180,,S3:24
BHR,LAI_INSP_SEX_NB,FF:599,SEX_T,2011,27,,S3:23
BHR,LAI_INSP_SEX_NB,FF:599,SEX_M,2011,18,,S3:23
BHR,LAI_INSP_SEX_NB,FF:599,SEX_F,2011,9,,S3:23
BHR,LAI_INSP_SEX_NB,FF:599,SEX_T,2012,26,,S3:23
BHR,LAI_INSP_SEX_NB,FF:599,SEX_M,2012,17,,S3:23
BHR,LAI_INSP_SEX_NB,FF:599,SEX_F,2012,9,,S3:23
BHR,LAI_INSP_SEX_NB,FF:599,SEX_T,2015,20,,S3:23
BHR,LAI_INSP_SEX_NB,FF:599,SEX_M,2015,14,,S3:23
BHR,LAI_INSP_SEX_NB,FF:599,SEX_F,2015,6,,S3:23
BLZ,LAI_INSP_SEX_NB,FX:354,SEX_T,2009,21,,
BLZ,LAI_INSP_SEX_NB,FX:354,SEX_T,2010,22,,
BLZ,LAI_INSP_SEX_NB,FX:354,SEX_T,2011,24,,
BLZ,LAI_INSP_SEX_NB,FX:354,SEX_M,2011,12,,
BLZ,LAI_INSP_SEX_NB,FX:354,SEX_F,2011,12,,
BLZ,LAI_INSP_SEX_NB,FX:354,SEX_T,2012,23,,
BLZ,LAI_INSP_SEX_NB,FX:354,SEX_M,2012,12,,
BLZ,LAI_INSP_SEX_NB,FX:354,SEX_F,2012,11,,
BRA,LAI_INSP_SEX_NB,FX:952,SEX_T,2011,3093,,S3:24_S5:40
BRA,LAI_INSP_SEX_NB,FX:952,SEX_T,2012,2941,,S3:24_S5:40
BRA,LAI_INSP_SEX_NB,FX:952,SEX_T,2013,2775,,
BRA,LAI_INSP_SEX_NB,FX:952,SEX_M,2013,1761,,
BRA,LAI_INSP_SEX_NB,FX:952,SEX_F,2013,1014,,
BRB,LAI_INSP_SEX_NB,FF:339,SEX_T,2009,16,,
BRB,LAI_INSP_SEX_NB,FF:339,SEX_T,2010,16,,
BRB,LAI_INSP_SEX_NB,FF:339,SEX_T,2013,25,,
BRB,LAI_INSP_SEX_NB,FF:339,SEX_T,2014,19,,
BRB,LAI_INSP_SEX_NB,FF:339,SEX_M,2014,6,,
BRB,LAI_INSP_SEX_NB,FF:339,SEX_F,2014,13,,
BRB,LAI_INSP_SEX_NB,FF:339,SEX_T,2015,18,,
BRB,LAI_INSP_SEX_NB,FF:339,SEX_M,2015,6,,
BRB,LAI_INSP_SEX_NB,FF:339,SEX_F,2015,12,,
CAN,LAI_INSP_SEX_NB,FX:3347,SEX_T,2015,165,,
CAN,LAI_INSP_SEX_NB,FX:3347,SEX_M,2015,64,,
CAN,LAI_INSP_SEX_NB,FX:3347,SEX_F,2015,101,,
CAN,LAI_INSP_SEX_NB,FX:3347,SEX_T,2016,168,,
CAN,LAI_INSP_SEX_NB,FX:3347,SEX_T,2017,178,,
CAN,LAI_INSP_SEX_NB,FX:3347,SEX_M,2017,73,,
CAN,LAI_INSP_SEX_NB,FX:3347,SEX_F,2017,105,,
CAN,LAI_INSP_SEX_NB,FX:3347,SEX_T,2018,178,,
CAN,LAI_INSP_SEX_NB,FX:3347,SEX_M,2018,73,,
CAN,LAI_INSP_SEX_NB,FX:3347,SEX_F,2018,105,,
CAN,LAI_INSP_SEX_NB,FX:3347,SEX_T,2019,177,,
CAN,LAI_INSP_SEX_NB,FX:3347,SEX_M,2019,67,,
CAN,LAI_INSP_SEX_NB,FX:3347,SEX_F,2019,110,,
CHE,LAI_INSP_SEX_NB,FF:3519,SEX_T,2011,568,,S3:24
CHE,LAI_INSP_SEX_NB,FF:3519,SEX_T,2012,581,,S3:24
CHE,LAI_INSP_SEX_NB,FF:3519,SEX_T,2013,590,,S3:24
CHE,LAI_INSP_SEX_NB,FF:3519,SEX_T,2014,599,,S3:24
CHE,LAI_INSP_SEX_NB,FF:3519,SEX_T,2015,594,,S3:24
CHE,LAI_INSP_SEX_NB,FF:3519,SEX_T,2016,565,,S3:24
CHE,LAI_INSP_SEX_NB,FF:3519,SEX_T,2017,558,,S3:24
