ref_area,indicator,source,time,obs_value,note_indicator,note_source
AND,LAI_VDIN_NOC_RT,EA:98,2015,39.63,,
ARG,LAI_VDIN_NOC_RT,FX:158,2009,288.96,,
ARG,LAI_VDIN_NOC_RT,FX:158,2010,286.9,,
ARG,LAI_VDIN_NOC_RT,FX:158,2011,320.13,,S3:20
ARG,LAI_VDIN_NOC_RT,FX:158,2012,324.59,,S3:20
ARG,LAI_VDIN_NOC_RT,FX:158,2013,338.75,,S3:16
ARG,LAI_VDIN_NOC_RT,FX:158,2014,449,,S3:16
ARG,LAI_VDIN_NOC_RT,FX:158,2015,376.4,,S3:16
ARG,LAI_VDIN_NOC_RT,FX:158,2017,531,,S3:16
ARM,LAI_VDIN_NOC_RT,FF:172,2009,9.66,,
ARM,LAI_VDIN_NOC_RT,FF:172,2010,5.08,,
AUT,LAI_VDIN_NOC_RT,FF:256,2009,205.57,,S3:24_S8:61
AUT,LAI_VDIN_NOC_RT,FF:256,2010,194.94,,S3:24_S8:61
AUT,LAI_VDIN_NOC_RT,FF:256,2011,194.27,,S3:24_S8:61
AUT,LAI_VDIN_NOC_RT,FF:256,2012,193.17,,S3:24_S8:61
AUT,LAI_VDIN_NOC_RT,FF:256,2013,205,,S3:24
AUT,LAI_VDIN_NOC_RT,FF:256,2014,203,,S3:24
AUT,LAI_VDIN_NOC_RT,FF:256,2015,212,,S3:24
AUT,LAI_VDIN_NOC_RT,FF:256,2016,212,,S3:24
AUT,LAI_VDIN_NOC_RT,FF:256,2017,198,,S3:24
AUT,LAI_VDIN_NOC_RT,FF:256,2018,194,,S3:24
AUT,LAI_VDIN_NOC_RT,FF:256,2019,198,,S3:24
AZE,LAI_VDIN_NOC_RT,FF:130,2009,11.18,,S3:24_S5:38
AZE,LAI_VDIN_NOC_RT,FF:130,2010,14.69,,S3:24_S5:38
AZE,LAI_VDIN_NOC_RT,FF:130,2011,38.4,,S3:24
AZE,LAI_VDIN_NOC_RT,FF:130,2012,44.1,,S3:24
AZE,LAI_VDIN_NOC_RT,FF:130,2013,33,,S3:24
AZE,LAI_VDIN_NOC_RT,FF:130,2014,44,,S3:24
AZE,LAI_VDIN_NOC_RT,FF:130,2015,1.9,,S3:24
BEL,LAI_VDIN_NOC_RT,EB:3463,2017,199.64,,S7:57
BEL,LAI_VDIN_NOC_RT,EB:3463,2018,171.63,,S7:57
BEL,LAI_VDIN_NOC_RT,EB:3463,2019,156.49,,S7:57
BGR,LAI_VDIN_NOC_RT,FF:2603,2011,166.76,,S3:24
BGR,LAI_VDIN_NOC_RT,FF:2603,2012,176.35,,S3:24
BHR,LAI_VDIN_NOC_RT,FF:599,2015,619,T8:127,
BLZ,LAI_VDIN_NOC_RT,FX:354,2009,32.57,,
BLZ,LAI_VDIN_NOC_RT,FX:354,2010,36.23,,
BLZ,LAI_VDIN_NOC_RT,FX:354,2011,37.42,,
BLZ,LAI_VDIN_NOC_RT,FX:354,2012,44.39,,
BRA,LAI_VDIN_NOC_RT,FX:952,2011,131.72,,S5:40
BRA,LAI_VDIN_NOC_RT,FX:952,2012,143.96,,S5:40
BRA,LAI_VDIN_NOC_RT,FX:952,2013,99.75,,
BRB,LAI_VDIN_NOC_RT,FF:339,2009,14.06,,
BRB,LAI_VDIN_NOC_RT,FF:339,2010,12.31,,
BRB,LAI_VDIN_NOC_RT,FF:339,2013,42.44,,
BRB,LAI_VDIN_NOC_RT,FF:339,2014,83.21,,
