note_classif, note_classif.label, note_classif.sort
"C1:969","Nonstandard COICOP classification: Electricity only",1
"C1:970","Nonstandard COICOP classification: Excluding electricity",2
"C1:963","Nonstandard COICOP classification: Excluding housing",3
"C1:956","Nonstandard COICOP classification: Excluding housing, water, electricity, gas and other fuels",4
"C1:958","Nonstandard COICOP classification: Excluding imputed rentals",5
"C1:971","Nonstandard COICOP classification: Excluding rents",6
"C1:961","Nonstandard COICOP classification: Excluding tobacco",7
"C1:954","Nonstandard COICOP classification: Food",8
"C1:965","Nonstandard COICOP classification: Food and beverages",9
"C1:951","Nonstandard COICOP classification: Food, beverages and tobacco",10
"C1:957","Nonstandard COICOP classification: Food, beverages, tobacco and catering",11
"C1:959","Nonstandard COICOP classification: Housing",12
"C1:972","Nonstandard COICOP classification: Housing and water",13
"C1:960","Nonstandard COICOP classification: Housing, water, electricity, gas and other fuels",14
"C1:964","Nonstandard COICOP classification: Including rents",15
"C1:955","Nonstandard COICOP classification: Including water",16
"C1:3484","Nonstandard COICOP classification: Excluding footwear",17
"C1:3485","Nonstandard COICOP classification: Including certain household items",18
"C1:3486","Nonstandard COICOP classification: Including household linen",19
"C4:3634","Nonstandard occupation: Based on national classification; not strictly compatible with ISCO",20
"C4:1008","Nonstandard occupation: Including 0",21
"C4:1006","Nonstandard occupation: Including 1",22
"C4:997","Nonstandard occupation: Including 2",23
"C4:1002","Nonstandard occupation: Including 3",24
"C4:999","Nonstandard occupation: Including 5",25
"C4:998","Nonstandard occupation: Including 6",26
"C4:1005","Nonstandard occupation: Including 7",27
"C4:1004","Nonstandard occupation: Including 8",28
"C4:1782","Nonstandard occupation: Including 0, 33",29
"C4:2170","Nonstandard occupation: Including 0, X",30
"C4:1778","Nonstandard occupation: Including 210",31
"C4:1792","Nonstandard occupation: Including 220",32
"C4:2164","Nonstandard occupation: Including 2-3",33
"C4:1790","Nonstandard occupation: Including 4, 6-9",34
"C4:1780","Nonstandard occupation: Including 6, 931",35
"C4:1787","Nonstandard occupation: Including 6-9",36
"C4:1779","Nonstandard occupation: Including 7, 931",37
"C4:2162","Nonstandard occupation: Including 8-9",38
"C4:1772","Nonstandard occupation: Excluding 210",39
"C4:2246","Nonstandard occupation: Excluding 220",40
"C4:1803","Nonstandard occupation: Excluding 931",41
"C4:2412","Nonstandard occupation: Including armed forces",42
"C4:2598","Nonstandard occupation: Including domestic workers",43
"C4:3052","Nonstandard occupation: Including first time job seekers",44
"C4:1552","Nonstandard occupation: Including mining and construction labourers",45
"C4:3050","Nonstandard occupation: Including unemployed previously employed",46
"C4:1771","Nonstandard occupation: Including workers not classifiable by occupation",47
"C4:1553","Nonstandard occupation: Excluding mining and construction labourers",48
"C6:1636","Nonstandard age group: Including ages 5-9",49
"C6:2289","Nonstandard age group: Including ages 10-14",50
"C6:3352","Nonstandard age group: Including ages 11-14",51
"C6:1061","Nonstandard age group: Including ages 12-14",52
"C6:1060","Nonstandard age group: Including ages 13-14",53
"C6:1059","Nonstandard age group: Including age 14",54
"C6:1677","Nonstandard age group: Including age 15",55
"C6:2355","Nonstandard age group: Including ages 15-17",56
"C6:2840","Nonstandard age group: Including ages 18-19",57
"C6:2285","Nonstandard age group: Including age 19",58
"C6:2300","Nonstandard age group: Including ages 20-21",59
"C6:1690","Nonstandard age group: Including ages 20-24",60
"C6:2340","Nonstandard age group: Including ages 20-29",61
"C6:2353","Nonstandard age group: Including age 25",62
"C6:1685","Nonstandard age group: Including ages 25-29",63
"C6:1474","Nonstandard age group: Including ages 25-34",64
"C6:2348","Nonstandard age group: Including ages 25-39",65
"C6:1501","Nonstandard age group: Including ages 30-34",66
"C6:2301","Nonstandard age group: Including ages 30-39",67
"C6:2274","Nonstandard age group: Including ages 30-44",68
"C6:2364","Nonstandard age group: Including ages 30-49",69
"C6:2305","Nonstandard age group: Including ages 30-54",70
"C6:2373","Nonstandard age group: Including ages 30-59",71
"C6:2375","Nonstandard age group: Including ages 30+",72
"C6:1629","Nonstandard age group: Including ages 35-39",73
"C6:1633","Nonstandard age group: Including ages 35-44",74
