source, source.label, source.sort
"BA:829","ABW - LFS - Labour Force Survey",1
"AA:22","ABW - PC - Population and Housing Census",2
"FX:830","ABW - ADM - Other Administrative records and related sources",3
"GA:2314","ABW - CPS - Consumer Price Survey",4
"BA:15715","AFG - LFS - Labour Force Survey",5
"BB:6361","AFG - HIES - Living Conditions Survey",6
"AA:831","AFG - PC - Population Census",7
"EA:834","AFG - OE - Official Estimates",8
"FX:3344","AFG - ADM - Labour legislation",9
"GA:2272","AFG - CPS - Consumer Price Survey",10
"XA:2198","AFG - ILO - ILO Modelled Estimates",11
"XX:14027","AFG - OS - UNICEF and ILO calculations",12
"BB:13366","AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être",13
"BA:13951","AGO - LFS - Inquérito ao Emprego",14
"AA:835","AGO - PC - Recensements de Population",15
"EA:837","AGO - OE - Estimations Officielles",16
"FB:838","AGO - ADM-EOR - Fichiers des bureaux de placement",17
"FX:3363","AGO - ADM - Labour legislation",18
"GA:2319","AGO - CPS - Enquête sur les Prix à la Consommation",19
"XA:2010","AGO - ILO - ILO Modelled Estimates",20
"XX:14028","AGO - OS - UNICEF and ILO calculations",21
"XA:15876","AGO - ILO - ILO calculations based on information from ILO textual sources",22
"BA:840","AIA - LFS - Labour Force Survey",23
"AA:839","AIA - PC - Population Census",24
"DA:841","AIA - ES - Labour-related Establishment Survey",25
"EB:842","AIA - Other - Other Official Sources",26
"GA:2306","AIA - CPS - Consumer Price Survey",27
"BA:480","ALB - LFS - Labour Force Survey",28
"AA:843","ALB - PC - Population Census",29
"DA:845","ALB - ES - Labour-related Establishment Survey",30
"DA:15729","ALB - ES - Structure of Earnings Survey",31
"DA:846","ALB - ES - Other Establishment Survey",32
"EA:847","ALB - OE - Official Estimates",33
"FA:13364","ALB - ADM-IR - General Directorate of Taxation",34
"FB:848","ALB - ADM-EOR - Registered Unemployment",35
"FX:7131","ALB - ADM - Administrative records and related sources",36
"FX:482","ALB - ADM - Annual Structural Survey of Economic Enterprises",37
"FX:3278","ALB - ADM - Labour legislation",38
"GA:481","ALB - CPS - Consumer Price Survey",39
"XA:2137","ALB - ILO - ILO Modelled Estimates",40
"XX:13994","ALB - OS - UNICEF and ILO calculations",41
"XA:15877","ALB - ILO - ILO calculations based on information from ILO textual sources",42
"BA:850","AND - LFS - Enquête sur la Population Active",43
"AA:849","AND - PC - Recensement de la Population",44
"EA:98","AND - OE - Estimations du département des statistiques",45
"FB:99","AND - ADM-EOR - Registres du Service pour l'Emploi",46
"FX:97","AND - ADM - Service Andorran de Sécurité Sociale",47
"FX:851","AND - ADM - Autres fichiers administratifs et sources connexes",48
"GA:2303","AND - CPS - Enquête sur les Prix à la Consommation",49
"BA:748","ANT - LFS - Labour Force Survey",50
"AA:852","ANT - PC - Population Census",51
"EA:853","ANT - OE - Official Estimates",52
"FA:854","ANT - ADM-IR - Insurance Records",53
"FX:856","ANT - ADM - Other Administrative records and related sources",54
"FX:855","ANT - ADM - Other Administrative records and related sources (Strikes and Lockouts)",55
"GA:2318","ANT - CPS - Consumer Price Survey",56
"BA:716","ARE - LFS - Labour Force Survey",57
"AA:858","ARE - PC - Population Census",58
"DA:859","ARE - ES - Labour-related Establishment Survey",59
"EA:860","ARE - OE - Official Estimates",60
"FX:12920","ARE - ADM - Ministry of Labour Data Library",61
"GA:717","ARE - CPS - Consumer Price Survey",62
"XA:1978","ARE - ILO - ILO Modelled Estimates",63
"BA:150","ARG - LFS - Encuesta Permanente de Hogares (Urbano)",64
"BA:153","ARG - LFS - Encuesta Anual de Hogares Urbanos",65
"BC:2214","ARG - CLS - Child Labour Survey",66
"AA:861","ARG - PC - Censos de Población",67
"DA:862","ARG - ES - Encuesta de Establecimientos Relacionada con el Trabajo",68
"EA:864","ARG - OE - Estimaciones Oficiales",69
"EB:156","ARG - Other - Recolección especial de datos",70
"FA:865","ARG - ADM-IR - Registros de Seguros",71
"FX:3503","ARG - ADM - Administrative Records",72
"FX:158","ARG - ADM - Plan Nacional de Regularización del Trabajo",73
"FX:3502","ARG - ADM - Sistema Integrado Previsional Argentino",74
"FX:157","ARG - ADM - Registros Administrativos y Fuentes Relacionadas",75
"FX:154","ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales",76
"FX:8237","ARG - ADM - Estimaciones basadas en Registros del Ministerio de Trabajo, Empleo y Seguridad Social",77
"GA:2320","ARG - CPS - Indice de Precios al Consumidor",78
"XA:1868","ARG - ILO - ILO Modelled Estimates",79
"XA:15836","ARG - ILO - ILO calculations based on information from ILO textual sources",80
"BA:867","ARM - LFS - Household Labour Force Survey",81
"BB:173","ARM - HIES - Households' Integrated Living Conditions Survey",82
"BX:6366","ARM - HS - School to Work Transition Survey",83
"BX:13331","ARM - HS - Integrated Survey on Migration",84
"AA:6363","ARM - PC - Population Census",85
"DA:177","ARM - ES - Labour-related Establishment Survey",86
"EA:868","ARM - OE - Official Estimates",87
"EB:176","ARM - Other - Statistical Report on Occupational Injuries",88
"FB:869","ARM - ADM-EOR - Employment Office Records",89
"FF:172","ARM - ADM-LIR - Records of Labour Inspection of Republic of Armenia",90
"FI:171","ARM - ADM-RWO - Records from branch republican Unions",91
"FX:3283","ARM - ADM - Labour legislation",92
"GA:175","ARM - CPS - Consumer Price Survey",93
"XA:1931","ARM - ILO - ILO Modelled Estimates",94
"XX:14029","ARM - OS - UNICEF and ILO calculations",95
"FX:15740","ARM - ADM - Database of Individual Records on Income Tax and Social Security Tax",96
"XA:15878","ARM - ILO - ILO calculations based on information from ILO textual sources",97
"AA:21","ASM - PC - Census for American Samoa",98
"EA:871","ASM - OE - Official Estimates",99
"GA:2321","ASM - CPS - Retail Price Index",100
"AA:872","ATG - PC - Population Census",101
"EA:873","ATG - OE - Official Estimates",102
"FF:874","ATG - ADM-LIR - Labour Inspectorate Records",103
"FX:875","ATG - ADM - Labour Relations Records",104
"GA:2315","ATG - CPS - Cost of Living Index",105
"XA:15820","ATG - ILO - ILO calculations based on information from ILO textual sources",106
"BA:518","AUS - LFS - Labour Force Survey",107
"BA:3048","AUS - LFS - Employee Earnings, Benefits and Trade Union Membership Survey",108
"BX:15661","AUS - HS - General Social Survey",109
"AA:876","AUS - PC - Census of Population and Housing",110
"DA:8238","AUS - ES - Major Labour Costs Survey",111
"DA:15745","AUS - ES - Survey of Employment and Earnings",112
"DA:603","AUS - ES - Survey of Employee Earnings",113
"EB:878","AUS - Other - Special data collection",114
"FA:775","AUS - ADM-IR - National Data Standards for Injury Surveillance Records",115
"FA:877","AUS - ADM-IR - Insurance Records",116
"FX:557","AUS - ADM - Work-related Traumatic Injury Fatalities Records",117
"FX:13344","AUS - ADM - Administrative Records of the National statistical Office",118
"FX:524","AUS - ADM - Industrial Disputes",119
"FX:3254","AUS - ADM - Labour legislation",120
"BX:14103","AUS - HS - Survey of Education and Work",121
"EA:14105","AUS - OE - Migration, Australia, Australian Bureau of Statistics",122
