note_indicator, note_indicator.label, note_indicator.sort
"T5:115","Unemployment definition: Two criteria (not in employment and currently available)",1
"T5:1429","Unemployment definition: Two criteria (not in employment and seeking)",2
"T5:3662","Unemployment definition: Two criteria (not in employment and seeking or currently available)",3
"T5:260","Unemployment definition: Registered unemployed",4
"T5:4118","Unemployment definition: Self-declared labour status",5
"I24:3563","Type of difficulties: Impairments",6
"I24:3562","Type of difficulties: Activity limitations",7
"I24:3558","Type of difficulties: Participation restrictions",8
"I24:3564","Type of difficulties: Nonstandard type of difficulties",9
"I25:3553","Level of difficulties: Cannot do at all at least one activity",10
"I25:3556","Level of difficulties: Have a lot of difficulties in performing at least one activity",11
"I25:3555","Level of difficulties: Level of difficulties not used as a criteria",12
"I25:3565","Level of difficulties: Nonstandard level of difficulties",13
"I26:3561","Minimum duration of disability: No minimum duration",14
"I26:3551","Minimum duration of disability: At least 6 months",15
"I26:3557","Minimum duration of disability: At least 12 months",16
"I26:3552","Minimum duration of disability: Permanent",17
"I26:3559","Minimum duration of disability: Nonstandard minimum duration of disability",18
"T35:2414","Time-related underemployment concept: Three criteria (worked less than a threshold, willing and available to work more hours)",19
"T35:2416","Time-related underemployment concept: Two criteria (worked less than a threshold and willing to work more hours)",20
"T35:2415","Time-related underemployment concept: Two criteria (willing and available to work more hours)",21
"T35:4143","Time-related underemployment concept: Two criteria (worked less than a threshold and available to work more hours)",22
"T35:3997","Time-related underemployment concept: Employed part time for economic reasons (persons who want and are available for full-time work but who have had to settle for a part-time schedule)",23
"T4:109","Threshold used to define time-related underemployment: Less than 30 hours per week",24
"T4:110","Threshold used to define time-related underemployment: Less than 35 hours per week",25
"T4:1605","Threshold used to define time-related underemployment: Less than 36 hours per week",26
"T4:111","Threshold used to define time-related underemployment: Less than 40 hours per week",27
"T4:2248","Threshold used to define time-related underemployment: Less than 44 hours per week",28
"T4:1601","Threshold used to define time-related underemployment: Less than 44 hours per week in the private sector and 40 hours per week in the public sector",29
"T4:1464","Threshold used to define time-related underemployment: Less than 48 hours per week if person holds one job and less than 60 hours per week if person has multiple jobs",30
"T4:256","Threshold used to define time-related underemployment: Less than usual weekly hours of work",31
"T4:1337","Threshold used to define time-related underemployment: Self-declared part-time",32
"T4:113","Threshold used to define time-related underemployment: No threshold related to working time used",33
"T4:112","Threshold used to define time-related underemployment: Nonstandard weekly hours threshold",34
"I19:3444","Type of minimum wage: Singular national minimum wage",35
"I19:3445","Type of minimum wage: Regional minimum wage",36
"I19:3446","Type of minimum wage: Sectoral minimum wage",37
"I19:3447","Type of minimum wage: Occupational minimum wage",38
"T6:118","Labour cost concept: Compensation of employees",39
"T7:121","Time unit: Per month",40
"T7:122","Time unit: Per week",41
"T7:123","Time unit: Per day",42
"T7:124","Time unit: Per hour",43
"T7:120","Time unit: Per year",44
"T8:127","Central tendency measure: Mean",45
"T8:128","Central tendency measure: Median",46
"T8:252","Central tendency measure: Weighted mean",47
"T8:406","Central tendency measure: Minimum",48
"T8:3277","Central tendency measure: Lowest occupational minimum wage",49
"T8:3278","Central tendency measure: Mean of regional minimum wages",50
"T8:3279","Central tendency measure: Mean of occupational minimum wages",51
"T9:133","Value type: Nominal values",52
"T9:131","Value type: Real values",53
"T9:232","Value type: Nonstandard value type",54
"T10:138","Accounting concept: Gross",55
"T10:139","Accounting concept: Net",56
"T11:1496","Job coverage: All jobs held with same employer",57
"T11:142","Job coverage: Main job currently held",58
"T11:2549","Job coverage: Main and second job currently held",59
"T11:143","Job coverage: Nonstandard job coverage",60
"T12:145","Working time arrangement coverage: Full-time and part time workers",61
"T12:146","Working time arrangement coverage: Full-time workers",62
"T12:1516","Working time arrangement coverage: Full-time equivalents",63
"I27:3722","Coverage of temporary employees: Fixed-term, occasional, casual, seasonal workers; apprentices/trainees; workers in probationary period",64
"I27:3720","Coverage of temporary employees: Workers with limited contract or -unstable- job; temporary agency and on-call workers",65
"I27:3719","Coverage of temporary employees: Fixed-term; temporary agency work; apprentices/trainees; contract, casual or seasonal worker; less than 12 months or daily workers",66
"I27:3721","Coverage of temporary employees: Temporary help and contract company workers and employees not expecting their job to last, including self-employed and independent contractors with a single employer and expecting to work for 1 year or less",67
"I27:3574","Coverage of temporary employees: Employees with fixed-term contracts",68
"I27:3576","Coverage of temporary employees: Casual and temporary employees",69
"I27:3572","Coverage of temporary employees: Casual employees",70
"I8:3319","Criteria used to define rural/urban areas: Definition based on population size",71
"I8:3320","Criteria used to define rural/urban areas: Definition based on administrative area",72
"I8:3321","Criteria used to define rural/urban areas: Definition based on population size and predominance of agricultural/non-agricultural activities",73
"I8:3303","Criteria used to define rural/urban areas: Definition based on administrative and legal area",74
"I8:3296","Criteria used to define rural/urban areas: Definition based on administrative area and population size",75
"I8:3305","Criteria used to define rural/urban areas: Definition based on administrative area, population size, infrastructure and amenities",76
"I8:3291","Criteria used to define rural/urban areas: Definition based on administrative area, population size and predominance of agricultural/non-agricultural activities",77
"I8:3298","Criteria used to define rural/urban areas: Definition based on population size, predominance of agricultural/non-agricultural activities, infrastructure and amenities",78
"I8:3304","Criteria used to define rural/urban areas: Definition based on administrative area, number of resident labourers for a given plantation and land area (estate area criteria - considered urban)",79
"I8:3306","Criteria used to define rural/urban areas: Definition based on administrative area, population density, predominance of agricultual/non-agricultural activities, infrastructure and amenities",80
