ref_area, ref_area.label, ref_area.sort
"X01","World",1
"X02","World: Low income",2
"X03","World: Lower-middle income",3
"X04","World: Upper-middle income",4
"X05","World: High income",5
"X06","Africa",6
"X07","Africa: Low income",7
"X08","Africa: Lower-middle income",8
"X09","Africa: Upper-middle income",9
"X93","Africa: High income",10
"X10","Northern Africa",11
"X11","Northern Africa: Lower-middle income",12
"X12","Northern Africa: Upper-middle income",13
"X13","Sub-Saharan Africa",14
"X14","Sub-Saharan Africa: Low income",15
"X15","Sub-Saharan Africa: Lower-middle income",16
"X16","Sub-Saharan Africa: Upper-middle income",17
"X81","Sub-Saharan Africa: High income",18
"X17","Central Africa",19
"X18","Eastern Africa",20
"X19","Southern Africa",21
"X20","Western Africa",22
"X21","Americas",23
"X22","Americas: Low income",24
"X23","Americas: Lower-middle income",25
"X24","Americas: Upper-middle income",26
"X25","Americas: High income",27
"X26","Latin America and the Caribbean",28
"X27","Latin America and the Caribbean: Low income",29
"X28","Latin America and the Caribbean: Lower-middle income",30
"X29","Latin America and the Caribbean: Upper-middle income",31
"X30","Latin America and the Caribbean: High income",32
"X31","Caribbean",33
"X32","Central America",34
"X33","South America",35
"X34","Northern America",36
"X35","Northern America: High income",37
"X36","Arab States",38
"X94","Arab States: Low income",39
"X37","Arab States: Lower-middle income",40
"X38","Arab States: Upper-middle income",41
"X39","Arab States: High income",42
"X40","Asia and the Pacific",43
"X41","Asia and the Pacific: Low income",44
"X42","Asia and the Pacific: Lower-middle income",45
"X43","Asia and the Pacific: Upper-middle income",46
"X44","Asia and the Pacific: High income",47
"X45","Eastern Asia",48
"X46","Eastern Asia: Low income",49
"X86","Eastern Asia: Lower-middle income",50
"X47","Eastern Asia: Upper-middle income",51
"X48","Eastern Asia: High income",52
"X49","South-Eastern Asia and the Pacific",53
"X51","South-Eastern Asia and the Pacific: Lower-middle income",54
"X52","South-Eastern Asia and the Pacific: Upper-middle income",55
"X53","South-Eastern Asia and the Pacific: High income",56
"X54","South-Eastern Asia",57
"X55","Pacific Islands",58
"X56","Southern Asia",59
"X57","Southern Asia: Low income",60
"X58","Southern Asia: Lower-middle income",61
"X59","Southern Asia: Upper-middle income",62
"X60","Europe and Central Asia",63
"X95","Europe and Central Asia: Low income",64
"X61","Europe and Central Asia: Lower-middle income",65
"X62","Europe and Central Asia: Upper-middle income",66
"X63","Europe and Central Asia: High income",67
"X64","Northern, Southern and Western Europe",68
"X65","Northern, Southern and Western Europe: Upper-middle income",69
"X66","Northern, Southern and Western Europe: High income",70
"X67","Northern Europe",71
"X68","Southern Europe",72
"X69","Western Europe",73
"X70","Eastern Europe",74
"X71","Eastern Europe: Lower-middle income",75
"X72","Eastern Europe: Upper-middle income",76
"X73","Eastern Europe: High income",77
"X78","Central and Western Asia",78
"X96","Central and Western Asia: Low income",79
"X75","Central and Western Asia: Lower-middle income",80
