Reference area;Source type;Time;Value
Andorra;Official estimate;2015;39,6
Argentina;Other administrative records and related sources;2010;286,9
Argentina;Other administrative records and related sources;2011;320,1
Argentina;Other administrative records and related sources;2012;324,6
Argentina;Other administrative records and related sources;2013;338,8
Argentina;Other administrative records and related sources;2014;449
Argentina;Other administrative records and related sources;2015;376,4
Argentina;Other administrative records and related sources;2017;531
Armenia;Labour inspectorate records;2010;5,1
Austria;Labour inspectorate records;2010;194,9
Austria;Labour inspectorate records;2011;194,3
Austria;Labour inspectorate records;2012;193,2
Austria;Labour inspectorate records;2013;205
Austria;Labour inspectorate records;2014;203
Austria;Labour inspectorate records;2015;212
Austria;Labour inspectorate records;2016;212
Austria;Labour inspectorate records;2017;198
Austria;Labour inspectorate records;2018;194
Austria;Labour inspectorate records;2019;198
Azerbaijan;Labour inspectorate records;2010;14,7
Azerbaijan;Labour inspectorate records;2011;38,4
Azerbaijan;Labour inspectorate records;2012;44,1
Azerbaijan;Labour inspectorate records;2013;33
Azerbaijan;Labour inspectorate records;2014;44
Azerbaijan;Labour inspectorate records;2015;1,9
Bahrain;Labour inspectorate records;2015;619
Barbados;Labour inspectorate records;2010;12,3
Barbados;Labour inspectorate records;2013;42,4
Barbados;Labour inspectorate records;2014;83,2
Barbados;Labour inspectorate records;2015;79
Belgium;Other official source;2017;199,6
Belgium;Other official source;2018;171,6
Belgium;Other official source;2019;156,5
Belize;Other administrative records and related sources;2010;36,2
Belize;Other administrative records and related sources;2011;37,4
Belize;Other administrative records and related sources;2012;44,4
Brazil;Other administrative records and related sources;2011;131,7
Brazil;Other administrative records and related sources;2012;144
Brazil;Other administrative records and related sources;2013;99,8
Bulgaria;Labour inspectorate records;2011;166,8
Bulgaria;Labour inspectorate records;2012;176,4
Canada;Other administrative records and related sources;2015;8,6
Canada;Other administrative records and related sources;2016;9,8
Canada;Other administrative records and related sources;2017;9,9
Canada;Other administrative records and related sources;2018;10,5
Canada;Other administrative records and related sources;2019;11,4
Chile;Labour inspectorate records;2010;88,7
Chile;Labour inspectorate records;2011;88,7
Chile;Labour inspectorate records;2012;85,1
Chile;Labour inspectorate records;2013;84,9
Chile;Labour inspectorate records;2017;134,2
Chile;Labour inspectorate records;2018;204
Colombia;Other administrative records and related sources;2011;25
Colombia;Other administrative records and related sources;2012;26,8
Colombia;Other administrative records and related sources;2013;15
Colombia;Other administrative records and related sources;2014;13,8
Colombia;Other administrative records and related sources;2015;12,5
Colombia;Other administrative records and related sources;2016;14,5
Colombia;Other administrative records and related sources;2017;16,5
Costa Rica;Labour inspectorate records;2010;0,1
Costa Rica;Labour inspectorate records;2011;0,2
Costa Rica;Labour inspectorate records;2012;0,2
Costa Rica;Labour inspectorate records;2013;132,6
Costa Rica;Labour inspectorate records;2014;218,3
Costa Rica;Labour inspectorate records;2015;240,5
Croatia;Labour inspectorate records;2011;109
Croatia;Labour inspectorate records;2012;103,7
Croatia;Labour inspectorate records;2014;73,4
Croatia;Labour inspectorate records;2015;77
Croatia;Labour inspectorate records;2016;69
Croatia;Labour inspectorate records;2017;72
Croatia;Labour inspectorate records;2018;76
Croatia;Labour inspectorate records;2019;78
Cuba;Other administrative records and related sources;2010;13,5
Cyprus;Labour inspectorate records;2010;274,1
Cyprus;Labour inspectorate records;2015;227
Cyprus;Labour inspectorate records;2017;191
Cyprus;Labour inspectorate records;2018;179
Cyprus;Labour inspectorate records;2019;194
Czechia;Labour inspectorate records;2010;67,3
Czechia;Labour inspectorate records;2011;67,4
Czechia;Labour inspectorate records;2012;63,1
Czechia;Labour inspectorate records;2013;98,2
Czechia;Labour inspectorate records;2014;69
Czechia;Labour inspectorate records;2015;58
Czechia;Labour inspectorate records;2017;57,8
Czechia;Labour inspectorate records;2018;44
Czechia;Labour inspectorate records;2019;56,5
Dominican Republic;Labour inspectorate records;2010;444
Dominican Republic;Labour inspectorate records;2013;376,2
Dominican Republic;Labour inspectorate records;2014;400,5
Ecuador;Other administrative records and related sources;2011;105,3
Ecuador;Other administrative records and related sources;2012;141,4
El Salvador;Economic or establishment census;2010;0,1
El Salvador;Economic or establishment census;2011;0,2
El Salvador;Economic or establishment census;2014;309,3
El Salvador;Economic or establishment census;2015;236,9
El Salvador;Economic or establishment census;2016;241,1
El Salvador;Economic or establishment census;2017;261,1
El Salvador;Economic or establishment census;2018;263,9
Estonia;Labour inspectorate records;2010;107,9
Estonia;Labour inspectorate records;2011;98,7
Estonia;Labour inspectorate records;2012;99,2
Estonia;Labour inspectorate records;2013;96,3
Estonia;Labour inspectorate records;2014;107,4
Estonia;Labour inspectorate records;2015;108,9
Estonia;Labour inspectorate records;2017;112
Estonia;Labour inspectorate records;2018;104
Estonia;Labour inspectorate records;2019;122
Finland;Labour inspectorate records;2011;71,7
Finland;Labour inspectorate records;2012;64,7
Finland;Other administrative records and related sources;2013;70
Finland;Other administrative records and related sources;2014;66
Finland;Other administrative records and related sources;2015;70
Finland;Other administrative records and related sources;2017;82
Finland;Labour inspectorate records;2018;78
France;Other administrative records and related sources;2013;79,8
France;Other administrative records and related sources;2014;59
Georgia;Other administrative records and related sources;2015;3
Georgia;Other administrative records and related sources;2019;48
Germany;Insurance records;2010;157,1
