Reference area;Source type;Sex;Time;Total;Migrants;Non migrants;EU Migrants;Migrants excluding EU;Unknown
Andorra;Official estimate;Total;2015;0;;;;;
Andorra;Official estimate;Male;2015;0;;;;;
Andorra;Official estimate;Female;2015;0;;;;;
Argentina;Other administrative records and related sources;Total;2010;871;;;;;
Argentina;Other administrative records and related sources;Total;2011;558;;;;;
Argentina;Other administrative records and related sources;Male;2011;544;;;;;
Argentina;Other administrative records and related sources;Female;2011;14;;;;;
Argentina;Other administrative records and related sources;Total;2012;562;;;;;
Argentina;Other administrative records and related sources;Male;2012;548;;;;;
Argentina;Other administrative records and related sources;Female;2012;14;;;;;
Argentina;Other administrative records and related sources;Total;2014;427;;;;;
Argentina;Other administrative records and related sources;Male;2014;414;;;;;
Argentina;Other administrative records and related sources;Female;2014;13;;;;;
Argentina;Other administrative records and related sources;Total;2015;445;;;;;
Argentina;Other administrative records and related sources;Male;2015;421;;;;;
Argentina;Other administrative records and related sources;Female;2015;7;;;;;
Argentina;Other administrative records and related sources;Total;2016;387;;;;;
Argentina;Other administrative records and related sources;Male;2016;362;;;;;
Argentina;Other administrative records and related sources;Female;2016;11;;;;;
Argentina;Other administrative records and related sources;Total;2017;395;15;359;;;
Argentina;Other administrative records and related sources;Male;2017;364;15;349;;;
Argentina;Other administrative records and related sources;Female;2017;10;0;10;;;
Argentina;Other administrative records and related sources;Total;2018;347;14;302;;;
Argentina;Other administrative records and related sources;Male;2018;307;14;293;;;
Argentina;Other administrative records and related sources;Female;2018;9;0;9;;;
Armenia;Labour inspectorate records;Total;2010;12;;;;;
Armenia;Labour inspectorate records;Male;2010;12;;;;;
Armenia;Other official source;Total;2013;2;;;;;
Armenia;Other official source;Male;2013;2;;;;;
Armenia;Other official source;Female;2013;0;;;;;
Armenia;Other official source;Total;2014;9;;;;;
Armenia;Other official source;Total;2018;9;;;;;
Armenia;Other official source;Male;2018;9;;;;;
Armenia;Other official source;Total;2019;3;;;;;
Armenia;Other official source;Male;2019;3;;;;;
Australia;Other administrative records and related sources;Total;2010;216;;;;;
Australia;Other administrative records and related sources;Male;2010;204;;;;;
Australia;Other administrative records and related sources;Female;2010;12;;;;;
Australia;Other administrative records and related sources;Total;2011;226;;;;;
Australia;Other administrative records and related sources;Male;2011;208;;;;;
Australia;Other administrative records and related sources;Female;2011;17;;;;;
Australia;Other administrative records and related sources;Total;2012;229;;;;;
Australia;Other administrative records and related sources;Male;2012;217;;;;;
Australia;Other administrative records and related sources;Female;2012;12;;;;;
Australia;Other administrative records and related sources;Total;2013;197;;;;;
Australia;Other administrative records and related sources;Male;2013;181;;;;;
Australia;Other administrative records and related sources;Female;2013;16;;;;;
Australia;Other administrative records and related sources;Total;2014;188;;;;;
Australia;Other administrative records and related sources;Male;2014;176;;;;;
Australia;Other administrative records and related sources;Female;2014;12;;;;;
Australia;Other administrative records and related sources;Total;2015;195;;;;;
