Reference area;Source type;Sex;Occupational injuries;Time;Total;Migrants;Non migrants;EU Migrants;Migrants excluding EU;Unknown
Argentina;Other administrative records and related sources;Total;Total;2010;568162;;;;;
Argentina;Other administrative records and related sources;Total;Permanent incapacity;2010;55710;;;;;
Argentina;Other administrative records and related sources;Total;Temporary incapacity;2010;512452;;;;;
Argentina;Other administrative records and related sources;Total;Total;2011;461084;;;;;
Argentina;Other administrative records and related sources;Total;Permanent incapacity;2011;38787;;;;;
Argentina;Other administrative records and related sources;Total;Temporary incapacity;2011;422297;;;;;
Argentina;Other administrative records and related sources;Male;Total;2011;375088;;;;;
Argentina;Other administrative records and related sources;Male;Permanent incapacity;2011;34262;;;;;
Argentina;Other administrative records and related sources;Male;Temporary incapacity;2011;340826;;;;;
Argentina;Other administrative records and related sources;Female;Total;2011;85995;;;;;
Argentina;Other administrative records and related sources;Female;Permanent incapacity;2011;4525;;;;;
Argentina;Other administrative records and related sources;Female;Temporary incapacity;2011;81470;;;;;
Argentina;Other administrative records and related sources;Total;Total;2012;438470;;;;;
Argentina;Other administrative records and related sources;Total;Permanent incapacity;2012;42697;;;;;
Argentina;Other administrative records and related sources;Total;Temporary incapacity;2012;395773;;;;;
Argentina;Other administrative records and related sources;Male;Total;2012;355969;;;;;
Argentina;Other administrative records and related sources;Male;Permanent incapacity;2012;37692;;;;;
Argentina;Other administrative records and related sources;Male;Temporary incapacity;2012;318277;;;;;
Argentina;Other administrative records and related sources;Female;Total;2012;82500;;;;;
Argentina;Other administrative records and related sources;Female;Permanent incapacity;2012;5005;;;;;
Argentina;Other administrative records and related sources;Female;Temporary incapacity;2012;77495;;;;;
Argentina;Other administrative records and related sources;Total;Total;2014;421080;;;;;
Argentina;Other administrative records and related sources;Total;Permanent incapacity;2014;44063;;;;;
Argentina;Other administrative records and related sources;Total;Temporary incapacity;2014;377015;;;;;
Argentina;Other administrative records and related sources;Male;Total;2014;337186;;;;;
Argentina;Other administrative records and related sources;Male;Permanent incapacity;2014;39156;;;;;
Argentina;Other administrative records and related sources;Male;Temporary incapacity;2014;298028;;;;;
Argentina;Other administrative records and related sources;Female;Total;2014;83894;;;;;
Argentina;Other administrative records and related sources;Female;Permanent incapacity;2014;4907;;;;;
Argentina;Other administrative records and related sources;Female;Temporary incapacity;2014;78987;;;;;
Argentina;Other administrative records and related sources;Total;Total;2015;417325;;;;;
Argentina;Other administrative records and related sources;Total;Permanent incapacity;2015;46502;;;;;
Argentina;Other administrative records and related sources;Total;Temporary incapacity;2015;370823;;;;;
Argentina;Other administrative records and related sources;Male;Total;2015;320452;;;;;
Argentina;Other administrative records and related sources;Male;Permanent incapacity;2015;39585;;;;;
Argentina;Other administrative records and related sources;Male;Temporary incapacity;2015;280867;;;;;
Argentina;Other administrative records and related sources;Female;Total;2015;79037;;;;;
Argentina;Other administrative records and related sources;Female;Permanent incapacity;2015;5217;;;;;
Argentina;Other administrative records and related sources;Female;Temporary incapacity;2015;73820;;;;;
Argentina;Other administrative records and related sources;Total;Total;2016;384139;;;;;
Argentina;Other administrative records and related sources;Total;Permanent incapacity;2016;48110;;;;;
Argentina;Other administrative records and related sources;Total;Temporary incapacity;2016;336029;;;;;
Argentina;Other administrative records and related sources;Male;Total;2016;291945;;;;;
Argentina;Other administrative records and related sources;Male;Permanent incapacity;2016;40874;;;;;
Argentina;Other administrative records and related sources;Male;Temporary incapacity;2016;251071;;;;;
Argentina;Other administrative records and related sources;Female;Total;2016;76238;;;;;
Argentina;Other administrative records and related sources;Female;Permanent incapacity;2016;5474;;;;;
Argentina;Other administrative records and related sources;Female;Temporary incapacity;2016;70764;;;;;
Argentina;Other administrative records and related sources;Total;Total;2017;369368;17089;337109;;;
Argentina;Other administrative records and related sources;Total;Permanent incapacity;2017;47279;1947;43633;;;
Argentina;Other administrative records and related sources;Total;Temporary incapacity;2017;322089;15142;293476;;;
Argentina;Other administrative records and related sources;Male;Total;2017;281034;14026;267005;;;
Argentina;Other administrative records and related sources;Male;Permanent incapacity;2017;40191;1726;38465;;;
Argentina;Other administrative records and related sources;Male;Temporary incapacity;2017;240840;12300;228540;;;
Argentina;Other administrative records and related sources;Female;Total;2017;73167;3063;70104;;;
Argentina;Other administrative records and related sources;Female;Permanent incapacity;2017;5389;221;5168;;;
Argentina;Other administrative records and related sources;Female;Temporary incapacity;2017;67778;2842;64936;;;
Argentina;Other administrative records and related sources;Total;Total;2018;351557;17171;320823;;;
Argentina;Other administrative records and related sources;Total;Permanent incapacity;2018;49371;2257;45462;;;
Argentina;Other administrative records and related sources;Total;Temporary incapacity;2018;302186;14914;275361;;;
Argentina;Other administrative records and related sources;Male;Total;2018;268319;14103;254213;;;
Argentina;Other administrative records and related sources;Male;Permanent incapacity;2018;41999;2023;39976;;;
Argentina;Other administrative records and related sources;Male;Temporary incapacity;2018;226317;12080;214237;;;
Argentina;Other administrative records and related sources;Female;Total;2018;69678;3068;66610;;;
Argentina;Other administrative records and related sources;Female;Permanent incapacity;2018;5720;234;5486;;;
Argentina;Other administrative records and related sources;Female;Temporary incapacity;2018;63958;2834;61124;;;
Armenia;Labour inspectorate records;Total;Total;2010;13;;;;;
Armenia;Labour inspectorate records;Total;Permanent incapacity;2010;13;;;;;
Armenia;Labour inspectorate records;Male;Total;2010;12;;;;;
Armenia;Labour inspectorate records;Male;Permanent incapacity;2010;12;;;;;
Armenia;Labour inspectorate records;Female;Total;2010;1;;;;;
Armenia;Labour inspectorate records;Female;Permanent incapacity;2010;1;;;;;
Australia;Insurance records;Total;Total;2010;92305;;;;;
Australia;Insurance records;Total;Permanent incapacity;2010;7750;;;;;
Australia;Insurance records;Total;Temporary incapacity;2010;84555;;;;;
Australia;Insurance records;Male;Total;2010;61635;;;;;
Australia;Insurance records;Male;Permanent incapacity;2010;5910;;;;;
Australia;Insurance records;Male;Temporary incapacity;2010;55725;;;;;
Australia;Insurance records;Female;Total;2010;30670;;;;;
Australia;Insurance records;Female;Permanent incapacity;2010;1835;;;;;
Australia;Insurance records;Female;Temporary incapacity;2010;28830;;;;;
Australia;Insurance records;Total;Total;2011;94715;;;;;
Australia;Insurance records;Total;Permanent incapacity;2011;11395;;;;;
Australia;Insurance records;Total;Temporary incapacity;2011;83325;;;;;
Australia;Insurance records;Male;Total;2011;62835;;;;;
Australia;Insurance records;Male;Permanent incapacity;2011;8370;;;;;
Australia;Insurance records;Male;Temporary incapacity;2011;54475;;;;;
Australia;Insurance records;Female;Total;2011;31875;;;;;
