Reference area;Source type;Sex;Time;Total;Migrants;Non migrants;EU Migrants;Migrants excluding EU;Unknown
Andorra;Official estimate;Total;2015;3;;;;;
Andorra;Official estimate;Male;2015;2;;;;;
Andorra;Official estimate;Female;2015;1;;;;;
Argentina;Other administrative records and related sources;Total;2010;568162;;;;;
Argentina;Other administrative records and related sources;Total;2011;466086;;;;;
Argentina;Other administrative records and related sources;Male;2011;379562;;;;;
Argentina;Other administrative records and related sources;Female;2011;86523;;;;;
Argentina;Other administrative records and related sources;Total;2012;441113;;;;;
Argentina;Other administrative records and related sources;Male;2012;358447;;;;;
Argentina;Other administrative records and related sources;Female;2012;82665;;;;;
Argentina;Other administrative records and related sources;Total;2014;421080;;;;;
Argentina;Other administrative records and related sources;Male;2014;337186;;;;;
Argentina;Other administrative records and related sources;Female;2014;83894;;;;;
Argentina;Other administrative records and related sources;Total;2015;417325;;;;;
Argentina;Other administrative records and related sources;Male;2015;320452;;;;;
Argentina;Other administrative records and related sources;Female;2015;79038;;;;;
Argentina;Other administrative records and related sources;Total;2016;384139;;;;;
Argentina;Other administrative records and related sources;Male;2016;291945;;;;;
Argentina;Other administrative records and related sources;Female;2016;76238;;;;;
Argentina;Other administrative records and related sources;Total;2017;354201;17089;337109;;;
Argentina;Other administrative records and related sources;Male;2017;281034;14026;267005;;;
Argentina;Other administrative records and related sources;Female;2017;73167;3063;70104;;;
Argentina;Other administrative records and related sources;Total;2018;351557;17171;320823;;;
Argentina;Other administrative records and related sources;Male;2018;268319;14103;254213;;;
Argentina;Other administrative records and related sources;Female;2018;69678;3068;66610;;;
Armenia;Labour inspectorate records;Total;2010;21;;;;;
Armenia;Labour inspectorate records;Male;2010;17;;;;;
Armenia;Labour inspectorate records;Female;2010;4;;;;;
Armenia;Other official source;Total;2013;49;;;;;
Armenia;Other official source;Male;2013;46;;;;;
Armenia;Other official source;Female;2013;3;;;;;
Armenia;Other official source;Total;2014;40;;;;;
Armenia;Other official source;Total;2018;33;;;;;
Armenia;Other official source;Male;2018;30;;;;;
Armenia;Other official source;Female;2018;3;;;;;
Armenia;Other official source;Total;2019;24;;;;;
Armenia;Other official source;Male;2019;24;;;;;
Australia;Insurance records;Total;2010;92300;;;;;
Australia;Insurance records;Male;2010;61640;;;;;
Australia;Insurance records;Female;2010;30665;;;;;
Australia;Insurance records;Total;2011;94714;;;;;
Australia;Insurance records;Male;2011;62834;;;;;
Australia;Insurance records;Female;2011;31875;;;;;
Australia;Insurance records;Total;2012;105525;;;;;
Australia;Insurance records;Male;2012;68050;;;;;
Australia;Insurance records;Female;2012;37475;;;;;
Australia;Insurance records;Total;2013;107220;;;;;
Australia;Insurance records;Male;2013;69045;;;;;
Australia;Insurance records;Female;2013;38175;;;;;
Australia;Insurance records;Total;2014;98980;;;;;
Australia;Insurance records;Male;2014;63815;;;;;
Australia;Insurance records;Female;2014;35165;;;;;
Australia;Insurance records;Total;2015;107355;;;;;
Australia;Insurance records;Male;2015;68836;;;;;
Australia;Insurance records;Female;2015;38517;;;;;
Australia;Insurance records;Total;2016;104780;;;;;
Australia;Insurance records;Male;2016;67350;;;;;
Australia;Insurance records;Female;2016;37430;;;;;
Australia;Insurance records;Total;2017;106260;;;;;
Australia;Insurance records;Male;2017;68106;;;;;
Australia;Insurance records;Female;2017;38155;;;;;
Austria;Insurance records;Total;2010;78413;;68239;3124;7050;
Austria;Insurance records;Male;2010;61027;;53142;2389;5496;
Austria;Insurance records;Female;2010;17386;;15097;735;1554;
Austria;Insurance records;Total;2011;70434;;59639;3517;7278;
Austria;Insurance records;Male;2011;55654;;47058;2844;5752;
Austria;Insurance records;Female;2011;14780;;12581;673;1526;
Austria;Insurance records;Total;2012;67025;;55644;5106;6275;
Austria;Insurance records;Male;2012;53029;;43986;4062;4981;
Austria;Insurance records;Female;2012;13996;;11658;1044;1294;
Austria;Insurance records;Total;2013;64646;;51452;5833;7361;
Austria;Insurance records;Male;2013;51275;;40620;4683;5972;
Austria;Insurance records;Female;2013;13371;;10832;1150;1389;
Austria;Insurance records;Total;2014;65418;;51769;6425;7224;
Austria;Insurance records;Male;2014;51352;;40465;5084;5803;
Austria;Insurance records;Female;2014;14066;;11304;1341;1421;
Austria;Insurance records;Total;2015;61228;;47781;6597;6850;
Austria;Insurance records;Male;2015;47876;;37160;5223;5493;
Austria;Insurance records;Female;2015;13352;;10621;1374;1357;
Austria;Insurance records;Total;2016;58320;;;;;
Austria;Insurance records;Male;2016;46003;;;;;
Austria;Insurance records;Female;2016;12317;;;;;
Azerbaijan;Establishment survey;Total;2011;174;;;;;
Azerbaijan;Establishment survey;Male;2011;149;;;;;
Azerbaijan;Establishment survey;Female;2011;25;;;;;
Azerbaijan;Establishment survey;Total;2012;133;;;;;
Azerbaijan;Establishment survey;Male;2012;120;;;;;
Azerbaijan;Establishment survey;Female;2012;13;;;;;
Azerbaijan;Labour inspectorate records;Total;2013;117;;;;;
Azerbaijan;Labour inspectorate records;Male;2013;105;;;;;
Azerbaijan;Labour inspectorate records;Female;2013;12;;;;;
Azerbaijan;Labour inspectorate records;Total;2014;181;;;;;
Azerbaijan;Labour inspectorate records;Male;2014;163;;;;;
Azerbaijan;Labour inspectorate records;Female;2014;18;;;;;
Azerbaijan;Labour inspectorate records;Total;2015;111;;;;;
Azerbaijan;Labour inspectorate records;Male;2015;96;;;;;
Azerbaijan;Labour inspectorate records;Female;2015;15;;;;;
Azerbaijan;Labour inspectorate records;Total;2016;182;;;;;
Azerbaijan;Labour inspectorate records;Male;2016;167;;;;;
Azerbaijan;Labour inspectorate records;Female;2016;15;;;;;
Azerbaijan;Labour inspectorate records;Total;2017;122;;;;;
Azerbaijan;Labour inspectorate records;Male;2017;103;;;;;
Azerbaijan;Labour inspectorate records;Female;2017;19;;;;;
Azerbaijan;Labour inspectorate records;Total;2018;146;;;;;
Azerbaijan;Labour inspectorate records;Male;2018;139;;;;;
Azerbaijan;Labour inspectorate records;Female;2018;7;;;;;
Azerbaijan;Labour inspectorate records;Total;2019;239;;;;;
Azerbaijan;Labour inspectorate records;Male;2019;208;;;;;
Azerbaijan;Labour inspectorate records;Female;2019;31;;;;;
Barbados;Labour inspectorate records;Total;2013;798;;;;;
Barbados;Labour inspectorate records;Total;2014;639;;;;;
Barbados;Labour inspectorate records;Total;2015;464;;;;;
Belarus;Establishment survey;Total;2010;2414;;;;;
Belarus;Establishment survey;Male;2010;1776;;;;;
Belarus;Establishment survey;Female;2010;638;;;;;
Belarus;Establishment survey;Total;2011;2180;;;;;
Belarus;Establishment survey;Male;2011;1644;;;;;
Belarus;Establishment survey;Female;2011;536;;;;;
Belarus;Establishment survey;Total;2012;1932;;;;;
Belarus;Establishment survey;Male;2012;1412;;;;;
Belarus;Establishment survey;Female;2012;520;;;;;
Belarus;Establishment survey;Total;2013;1860;;;;;
Belarus;Establishment survey;Male;2013;1388;;;;;
Belarus;Establishment survey;Female;2013;472;;;;;
Belarus;Establishment survey;Total;2014;1726;;;;;
Belarus;Establishment survey;Male;2014;1245;;;;;
Belarus;Establishment survey;Female;2014;481;;;;;
Belarus;Establishment survey;Total;2015;1452;;;;;
Belarus;Establishment survey;Male;2015;1045;;;;;
Belarus;Establishment survey;Female;2015;407;;;;;
Belarus;Establishment survey;Total;2016;1398;;;;;
Belarus;Establishment survey;Male;2016;1010;;;;;
Belarus;Establishment survey;Female;2016;388;;;;;
Belarus;Establishment survey;Total;2017;1314;;;;;
Belarus;Establishment survey;Male;2017;972;;;;;
Belarus;Establishment survey;Female;2017;342;;;;;
Belarus;Establishment survey;Total;2018;1575;;;;;
Belarus;Establishment survey;Male;2018;1184;;;;;
Belarus;Establishment survey;Female;2018;391;;;;;
Belarus;Establishment survey;Total;2019;1698;;;;;
Belarus;Establishment survey;Male;2019;1233;;;;;
Belarus;Establishment survey;Female;2019;465;;;;;
Belgium;Insurance records;Total;2010;67243;;59178;5158;2701;206
Belgium;Insurance records;Male;2010;49709;;43286;4072;2173;178
Belgium;Insurance records;Female;2010;17534;;15892;1086;528;28
Belgium;Insurance records;Total;2011;65023;;56831;4977;2979;236
Belgium;Insurance records;Male;2011;48955;;42387;3955;2405;208
Belgium;Insurance records;Female;2011;16068;;14444;1022;574;28
Belgium;Insurance records;Total;2012;58416;;50923;4512;2773;208
Belgium;Insurance records;Male;2012;43729;;37832;3545;2180;172
